home,away,line,p_over,p_under,fair_odds_over,fair_odds_under,mu_home,mu_away,mu_total,Game Week
Chelsea,Everton,7.5,0.71074,0.28925999999999996,1.4069842699158623,3.4570974210053245,6.319207953782055,3.0861818857776075,9.405389839559662,16
Chelsea,Everton,8.5,0.58982,0.41018,1.6954325048319827,2.437954068945341,6.319207953782055,3.0861818857776075,9.405389839559662,16
Chelsea,Everton,9.5,0.46414,0.53586,2.1545223423966906,1.866159071399246,6.319207953782055,3.0861818857776075,9.405389839559662,16
Chelsea,Everton,10.5,0.34684,0.65316,2.8831737977165264,1.531018433461939,6.319207953782055,3.0861818857776075,9.405389839559662,16
Chelsea,Everton,11.5,0.24458,0.75542,4.088641753209584,1.3237669111222896,6.319207953782055,3.0861818857776075,9.405389839559662,16
Chelsea,Everton,12.5,0.16546,0.8345400000000001,6.043756799226399,1.1982649124068347,6.319207953782055,3.0861818857776075,9.405389839559662,16
Liverpool,Brighton & Hove Albion,7.5,0.79646,0.20354000000000005,1.2555558345679634,4.913039206052863,5.383086720557855,4.938199410909606,10.32128613146746,16
Liverpool,Brighton & Hove Albion,8.5,0.6912,0.30879999999999996,1.446759259259259,3.2383419689119175,5.383086720557855,4.938199410909606,10.32128613146746,16
Liverpool,Brighton & Hove Albion,9.5,0.5727,0.4273,1.7461148943600489,2.340276152586005,5.383086720557855,4.938199410909606,10.32128613146746,16
Liverpool,Brighton & Hove Albion,10.5,0.4553,0.5447,2.1963540522732266,1.8358729575913348,5.383086720557855,4.938199410909606,10.32128613146746,16
Liverpool,Brighton & Hove Albion,11.5,0.34354,0.65646,2.9108691855388016,1.5233220607500837,5.383086720557855,4.938199410909606,10.32128613146746,16
Liverpool,Brighton & Hove Albion,12.5,0.24604,0.75396,4.064379775646236,1.326330309300228,5.383086720557855,4.938199410909606,10.32128613146746,16
Burnley,Fulham,7.5,0.77362,0.22638000000000003,1.292624285825082,4.417351356126866,3.6780237883035416,6.3897988321355115,10.067822620439053,16
Burnley,Fulham,8.5,0.66608,0.33392,1.5013211626231082,2.994729276473407,3.6780237883035416,6.3897988321355115,10.067822620439053,16
Burnley,Fulham,9.5,0.5473,0.4527,1.827151470856934,2.208968411751712,3.6780237883035416,6.3897988321355115,10.067822620439053,16
Burnley,Fulham,10.5,0.4272,0.5728,2.340823970037453,1.7458100558659218,3.6780237883035416,6.3897988321355115,10.067822620439053,16
Burnley,Fulham,11.5,0.31784,0.68216,3.146237100427888,1.465931746217896,3.6780237883035416,6.3897988321355115,10.067822620439053,16
Burnley,Fulham,12.5,0.2266,0.7734,4.41306266548985,1.2929919834497026,3.6780237883035416,6.3897988321355115,10.067822620439053,16
Arsenal,Wolverhampton Wanderers,7.5,0.76386,0.23614000000000002,1.3091404184012778,4.234775980350639,8.23574511725586,1.7523103184159963,9.988055435671857,16
Arsenal,Wolverhampton Wanderers,8.5,0.65546,0.34453999999999996,1.5256461111280626,2.9024206187960764,8.23574511725586,1.7523103184159963,9.988055435671857,16
Arsenal,Wolverhampton Wanderers,9.5,0.5349,0.46509999999999996,1.8695083193120208,2.1500752526338425,8.23574511725586,1.7523103184159963,9.988055435671857,16
Arsenal,Wolverhampton Wanderers,10.5,0.41766,0.5823400000000001,2.394292007853278,1.7172098773912146,8.23574511725586,1.7523103184159963,9.988055435671857,16
Arsenal,Wolverhampton Wanderers,11.5,0.30746,0.6925399999999999,3.2524556039810055,1.443959915672741,8.23574511725586,1.7523103184159963,9.988055435671857,16
Arsenal,Wolverhampton Wanderers,12.5,0.21646,0.78354,4.619791185438418,1.276259029532634,8.23574511725586,1.7523103184159963,9.988055435671857,16
Crystal Palace,Manchester City,7.5,0.71456,0.28544,1.3994626063591582,3.503363228699551,3.7775213010629187,5.672857868569208,9.450379169632127,16
Crystal Palace,Manchester City,8.5,0.59308,0.40691999999999995,1.6861131719160989,2.457485500835545,3.7775213010629187,5.672857868569208,9.450379169632127,16
Crystal Palace,Manchester City,9.5,0.46928,0.5307200000000001,2.1309239686327994,1.8842327404280974,3.7775213010629187,5.672857868569208,9.450379169632127,16
Crystal Palace,Manchester City,10.5,0.353,0.647,2.8328611898017,1.5455950540958268,3.7775213010629187,5.672857868569208,9.450379169632127,16
Crystal Palace,Manchester City,11.5,0.25062,0.7493799999999999,3.990104540738967,1.3344364674797835,3.7775213010629187,5.672857868569208,9.450379169632127,16
Crystal Palace,Manchester City,12.5,0.1696,0.8304,5.89622641509434,1.2042389210019266,3.7775213010629187,5.672857868569208,9.450379169632127,16
Nottingham Forest,Tottenham Hotspur,7.5,0.91928,0.08072000000000001,1.087807849621443,12.38850346878097,6.805883868399751,5.679604322437431,12.48548819083718,16
Nottingham Forest,Tottenham Hotspur,8.5,0.86026,0.13973999999999998,1.1624392625485318,7.156147130385002,6.805883868399751,5.679604322437431,12.48548819083718,16
Nottingham Forest,Tottenham Hotspur,9.5,0.7833,0.2167,1.276650070215754,4.614674665436087,6.805883868399751,5.679604322437431,12.48548819083718,16
Nottingham Forest,Tottenham Hotspur,10.5,0.69104,0.30896,1.4470942347765687,3.236664940445365,6.805883868399751,5.679604322437431,12.48548819083718,16
Nottingham Forest,Tottenham Hotspur,11.5,0.58604,0.41396,1.7063681659954952,2.4156923374239057,6.805883868399751,5.679604322437431,12.48548819083718,16
Nottingham Forest,Tottenham Hotspur,12.5,0.4783,0.5217,2.090738030524775,1.9168104274487252,6.805883868399751,5.679604322437431,12.48548819083718,16
Sunderland,Newcastle United,7.5,0.75638,0.24361999999999995,1.3220867817763557,4.104753304326411,4.620280906545029,5.227581943168118,9.847862849713147,16
Sunderland,Newcastle United,8.5,0.64168,0.35831999999999997,1.5584091759132277,2.790801518196026,4.620280906545029,5.227581943168118,9.847862849713147,16
Sunderland,Newcastle United,9.5,0.51852,0.48148,1.9285659183830903,2.0769294674752845,4.620280906545029,5.227581943168118,9.847862849713147,16
Sunderland,Newcastle United,10.5,0.39938,0.6006199999999999,2.50388101557414,1.664946222237022,4.620280906545029,5.227581943168118,9.847862849713147,16
Sunderland,Newcastle United,11.5,0.29238,0.70762,3.420206580477461,1.4131878691953308,4.620280906545029,5.227581943168118,9.847862849713147,16
Sunderland,Newcastle United,12.5,0.20336,0.79664,4.917387883556255,1.2552721430006024,4.620280906545029,5.227581943168118,9.847862849713147,16
West Ham United,Aston Villa,7.5,0.93442,0.06557999999999997,1.0701825731469787,15.248551387618184,6.42238014318342,6.466645660624742,12.889025803808163,16
West Ham United,Aston Villa,8.5,0.88292,0.11707999999999996,1.1326054455669823,8.541168431841479,6.42238014318342,6.466645660624742,12.889025803808163,16
West Ham United,Aston Villa,9.5,0.81454,0.18545999999999996,1.2276867925454857,5.391998274560553,6.42238014318342,6.466645660624742,12.889025803808163,16
West Ham United,Aston Villa,10.5,0.72562,0.27437999999999996,1.3781318045257849,3.6445805087834398,6.42238014318342,6.466645660624742,12.889025803808163,16
West Ham United,Aston Villa,11.5,0.62552,0.37448000000000004,1.5986699066376775,2.670369579149754,6.42238014318342,6.466645660624742,12.889025803808163,16
West Ham United,Aston Villa,12.5,0.5195,0.48050000000000004,1.9249278152069298,2.0811654526534857,6.42238014318342,6.466645660624742,12.889025803808163,16
Brentford,Leeds United,7.5,0.43826,0.56174,2.281750559028887,1.780183002812689,4.04328956274254,3.223140499882697,7.266430062625237,16
Brentford,Leeds United,8.5,0.30718,0.69282,3.255420274757471,1.4433763459484426,4.04328956274254,3.223140499882697,7.266430062625237,16
Brentford,Leeds United,9.5,0.20382,0.79618,4.906289863605142,1.255997387525434,4.04328956274254,3.223140499882697,7.266430062625237,16
Brentford,Leeds United,10.5,0.12646,0.87354,7.907638779060573,1.14476726881425,4.04328956274254,3.223140499882697,7.266430062625237,16
Brentford,Leeds United,11.5,0.07228,0.92772,13.835085777531821,1.0779114387961886,4.04328956274254,3.223140499882697,7.266430062625237,16
Brentford,Leeds United,12.5,0.03928,0.96072,25.45824847250509,1.0408860021650428,4.04328956274254,3.223140499882697,7.266430062625237,16
Manchester United,AFC Bournemouth,7.5,0.63326,0.36673999999999995,1.5791302150775353,2.726727381796368,4.312632900238187,4.3781448918469685,8.690777792085155,16
Manchester United,AFC Bournemouth,8.5,0.49926,0.50074,2.002964387293194,1.9970443743259976,4.312632900238187,4.3781448918469685,8.690777792085155,16
Manchester United,AFC Bournemouth,9.5,0.37534,0.62466,2.664251079021687,1.600870873755323,4.312632900238187,4.3781448918469685,8.690777792085155,16
Manchester United,AFC Bournemouth,10.5,0.26352,0.73648,3.79477838494232,1.3578101238322833,4.312632900238187,4.3781448918469685,8.690777792085155,16
Manchester United,AFC Bournemouth,11.5,0.17542,0.82458,5.700604264051989,1.2127386063207937,4.312632900238187,4.3781448918469685,8.690777792085155,16
Manchester United,AFC Bournemouth,12.5,0.11098,0.88902,9.010632546404757,1.1248340869721716,4.312632900238187,4.3781448918469685,8.690777792085155,16
