team,matches_w,tempo,attack,defense,mu_home_vs_avg,mu_away_vs_avg,mu_total_vs_avg
Luton town,0.0,1.0,-0.007205336821432061,0.013789925922744207,5.087185430489485,4.533372054575792,9.620557485065277
Sheffield united,0.0,1.0,0.00560794811340396,0.008926567873713754,5.152788384038118,4.591833182124349,9.744621566162467
Brighton & hove albion,36.8138828255465,1.0,-0.00450629229694159,-0.0502002561012462,5.100934516822148,4.545624354911234,9.646558871733383
West ham united,36.843070045758196,1.0,-0.10776141537791552,0.1774927817659446,4.600516769844312,4.09968428436326,8.700201054207572
Tottenham,36.89002458874716,1.0,0.09471912134673122,0.04717121662183752,5.633039517142206,5.019802065063799,10.652841582206005
Arsenal,36.893930690911624,1.0,0.24063667175711864,-0.46287570741364936,6.517994428255693,5.808416893129044,12.326411321384736
Sunderland,36.912619361030764,1.0,-0.2917895590570314,0.09108687367479132,3.8272269031769204,3.4105781529794705,7.237805056156391
Crystal palace,36.92701006374754,1.0,-0.13666240663467996,0.04476192100019182,4.469460229015967,3.9828951348662227,8.452355363882189
Manchester united,36.93454081926532,1.0,-0.012499446296015862,-0.011545360193938215,5.060324479049017,4.509435304425165,9.569759783474183
Nottingham Forest,36.94154167584457,1.0,0.006245215409328658,0.12751893729695246,5.15607313407881,4.594760339831534,9.750833473910344
Chelsea,36.94893631024262,1.0,0.17721742856935332,-0.17427279948531055,6.11746308753433,5.451489155420593,11.568952242954923
Everton,36.94893631024262,1.0,-0.17212629671144034,0.13385139913283053,4.313733442531258,3.844121451137784,8.157854893669041
Burnley,36.970201326533186,1.0,-0.3198821129380157,0.17483328467042825,3.7212064897166015,3.316099587933468,7.0373060776500695
Newcastle,36.977202183112446,1.0,0.2550325419263794,0.08467783263871047,6.612505280583403,5.892638878478486,12.505144159061889
Liverpool,36.99548244458042,1.0,0.22514765558662653,-0.2011802752080078,6.41781495075776,5.719143394072133,12.136958344829893
Wolverhampton wanderers,37.01807721686403,1.0,-0.25339194072039084,0.1328470331814751,3.9770411497853284,3.5440829619218355,7.521124111707164
Aston villa,37.0324679195808,1.0,0.11926216635692491,-0.05952817673955647,5.773001986557692,5.14452760459982,10.917529591157512
Bournemouth,37.03246791958081,1.0,0.18801506204668927,0.031921494050771236,6.183875112877967,5.5106712756508065,11.694546388528774
Leeds United,37.04634308973385,1.0,-0.15596286280801247,0.0356800515957025,4.384024731879385,3.9067605216346184,8.290785253514002
Brentford,37.10860968278146,1.0,-0.027537013469858877,0.13821312197002275,4.9847987942564105,4.442131677789216,9.426930472045626
Fulham,37.10860968278146,1.0,0.005166467151855167,0.04278110641899798,5.150514028147029,4.58980642261662,9.74032045076365
Manchester city,37.10860968278147,1.0,0.17227440486732357,-0.32595097267340584,6.0872989349748,5.424608805149938,11.511907740124737
