team,matches_w,tempo,attack,defense,mu_home_vs_avg,mu_away_vs_avg,mu_total_vs_avg
Luton town,0.0,1.0,-0.009046979725741453,0.011074441922437823,5.053639399718467,4.551361604535419,9.605001004253886
Sheffield united,0.0,1.0,0.0075520447409621275,0.004775867588574993,5.13822496052777,4.627540263777907,9.765765224305678
Brighton & hove albion,27.196319696895337,1.0,-0.014970693704700132,-0.06832936784679229,5.023791577623151,4.524480337250858,9.54827191487401
West ham united,27.241538279239272,1.0,-0.24715272731908905,0.08084886996716906,3.982870973385434,3.5870161264563003,7.5698870998417345
Tottenham,27.31428305771314,1.0,0.18641470235367413,0.11618642627658192,6.144579671796367,5.5338740622808995,11.678453734077266
Arsenal,27.320334624155123,1.0,0.2547062781900969,-0.44972238158114963,6.5788628736911665,5.924994151044811,12.503857024735979
Sunderland,27.349288226538334,1.0,-0.21217995238776596,0.25252854969361654,4.1246273828515205,3.7146834624511658,7.839310845302686
Crystal palace,27.371583161481297,1.0,-0.11426498649538099,0.13113097256614886,4.54892367561272,4.096809234212329,8.64573290982505
Manchester united,27.383250257080768,1.0,0.04664503159075935,-0.03192538713430167,5.343071464596145,4.812027212627492,10.155098677223638
Nottingham Forest,27.394096401640304,1.0,-0.17198832081813437,0.2429374759522998,4.293779364445615,3.8670235432256925,8.160802907671307
Chelsea,27.40555261028252,1.0,0.22837916919644935,-0.2942893017359368,6.407920516268035,5.771041638681592,12.178962154949627
Everton,27.40555261028252,1.0,-0.2081126920060428,0.2052623453434853,4.141437478740112,3.7298228143012713,7.8712602930413835
Burnley,27.43849764181364,1.0,-0.27275951980859353,0.25396087809362716,3.882177147888669,3.496330192037375,7.378507339926044
Newcastle,27.449343786373174,1.0,0.15776628162297923,0.04707593806193303,5.971044786981838,5.377586692066806,11.348631479048644
Liverpool,27.477664657715597,1.0,0.2890610509732824,-0.29535824386241616,6.808805409301069,6.132082853868115,12.940888263169185
Wolverhampton wanderers,27.51266982654079,1.0,-0.18044242918240533,0.07678982007473778,4.257632299300721,3.8344691103893735,8.092101409690095
Bournemouth,27.53496476148375,1.0,0.1967678243752565,-0.027699817535161084,6.208525704266639,5.591464541918956,11.799990246185594
Aston villa,27.534964761483753,1.0,0.13350236724605866,-0.08286517779497826,5.827907426320602,5.248675656680232,11.076583083000834
Leeds United,27.556461002631444,1.0,-0.27360089402833804,0.14531461258040318,3.878912157851786,3.4933897071476365,7.3723018649994225
Manchester city,27.652928122301553,1.0,0.22941037742879808,-0.394960021281905,6.414531824888718,5.776995853818823,12.19152767870754
Fulham,27.652928122301557,1.0,0.03348220267640905,-0.1446398821290541,5.273202375255879,4.749102364727807,10.022304739983685
Brentford,27.65292812230156,1.0,-0.05916813491853407,0.2219033827806796,4.806588119439676,4.328864583581599,9.135452703021276
