home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,is_main_line,main_line,gameweek,home_team,away_team
Aston villa,Nottingham Forest,corners_total,7.5,0.7873016666666667,0.21269833333333332,1.197632535907578,4.081310406118285,10.254401543633982,6.0459599410904215,4.2084416025435605,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.2873016666666667,False,10.5,20,Aston villa,Nottingham Forest
Aston villa,Nottingham Forest,corners_total,8.5,0.68226,0.31774,1.3820216509457723,2.8056603177895574,10.254401543633982,6.0459599410904215,4.2084416025435605,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.18225999999999998,False,10.5,20,Aston villa,Nottingham Forest
Aston villa,Nottingham Forest,corners_total,9.5,0.5651416666666667,0.43485833333333335,1.6684278424128391,2.0805880234437497,10.254401543633982,6.0459599410904215,4.2084416025435605,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.06514166666666665,False,10.5,20,Aston villa,Nottingham Forest
Aston villa,Nottingham Forest,corners_total,10.5,0.44624833333333336,0.5537516666666666,2.112944791370117,1.648188094843486,10.254401543633982,6.0459599410904215,4.2084416025435605,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.05375166666666664,True,10.5,20,Aston villa,Nottingham Forest
Aston villa,Nottingham Forest,corners_total,11.5,0.3357466666666667,0.6642533333333334,2.8083617357559145,1.3813671238806189,10.254401543633982,6.0459599410904215,4.2084416025435605,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.1642533333333333,False,10.5,20,Aston villa,Nottingham Forest
Aston villa,Nottingham Forest,corners_total,12.5,0.24146333333333334,0.7585366666666666,3.9049328051502474,1.2137194272705816,10.254401543633982,6.0459599410904215,4.2084416025435605,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.25853666666666664,False,10.5,20,Aston villa,Nottingham Forest
Brighton & hove albion,Burnley,corners_total,7.5,0.7303,0.26970000000000005,1.2911106279258697,3.2736114001709966,9.617730037438053,6.093480176250001,3.524249861188052,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.23029999999999995,False,9.5,20,Brighton & hove albion,Burnley
Brighton & hove albion,Burnley,corners_total,8.5,0.612075,0.38792499999999996,1.5404943700923293,2.3209517012318344,9.617730037438053,6.093480176250001,3.524249861188052,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.11207500000000004,False,9.5,20,Brighton & hove albion,Burnley
Brighton & hove albion,Burnley,corners_total,9.5,0.488575,0.511425,1.9298942671529706,1.7798759810182492,9.617730037438053,6.093480176250001,3.524249861188052,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.011425000000000018,True,9.5,20,Brighton & hove albion,Burnley
Brighton & hove albion,Burnley,corners_total,10.5,0.371435,0.628565,2.5385278489487058,1.4575753107255693,9.617730037438053,6.093480176250001,3.524249861188052,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.12856499999999998,False,9.5,20,Brighton & hove albion,Burnley
Brighton & hove albion,Burnley,corners_total,11.5,0.268,0.732,3.518276461097994,1.2566446341676247,9.617730037438053,6.093480176250001,3.524249861188052,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.23199999999999998,False,9.5,20,Brighton & hove albion,Burnley
Brighton & hove albion,Burnley,corners_total,12.5,0.18411333333333332,0.8158866666666666,5.121291731040278,1.1302796962828863,9.617730037438053,6.093480176250001,3.524249861188052,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.31588666666666665,False,9.5,20,Brighton & hove albion,Burnley
Wolverhampton wanderers,West ham united,corners_total,7.5,0.6949683333333333,0.3050316666666667,1.3567497198782619,2.915924696505979,9.268126225989436,4.444687188646141,4.823439037343294,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.1949683333333333,False,9.5,20,Wolverhampton wanderers,West ham united
Wolverhampton wanderers,West ham united,corners_total,8.5,0.5722633333333333,0.42773666666666665,1.6476646967437996,2.113805606174013,9.268126225989436,4.444687188646141,4.823439037343294,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.07226333333333335,False,9.5,20,Wolverhampton wanderers,West ham united
Wolverhampton wanderers,West ham united,corners_total,9.5,0.44641,0.55359,2.112179591797367,1.6486539941017724,9.268126225989436,4.444687188646141,4.823439037343294,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.053590000000000027,True,9.5,20,Wolverhampton wanderers,West ham united
Wolverhampton wanderers,West ham united,corners_total,10.5,0.3299283333333333,0.6700716666666666,2.8578875965212522,1.3696918832689602,9.268126225989436,4.444687188646141,4.823439037343294,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.17007166666666668,False,9.5,20,Wolverhampton wanderers,West ham united
Wolverhampton wanderers,West ham united,corners_total,11.5,0.23173,0.76827,4.068951329453514,1.1987009468785232,9.268126225989436,4.444687188646141,4.823439037343294,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.26827,False,9.5,20,Wolverhampton wanderers,West ham united
Wolverhampton wanderers,West ham united,corners_total,12.5,0.15508833333333333,0.8449116666666667,6.0797486910100424,1.0922760041843484,9.268126225989436,4.444687188646141,4.823439037343294,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.34491166666666667,False,9.5,20,Wolverhampton wanderers,West ham united
Bournemouth,Arsenal,corners_total,7.5,0.7035683333333334,0.29643166666666665,1.3401656198866199,2.9955943637920806,9.345450039366131,4.094916429699354,5.250533609666778,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.20356833333333335,False,9.5,20,Bournemouth,Arsenal
Bournemouth,Arsenal,corners_total,8.5,0.5813616666666667,0.41863833333333333,1.6218786783458305,2.157818202119563,9.345450039366131,4.094916429699354,5.250533609666778,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.08136166666666667,False,9.5,20,Bournemouth,Arsenal
Bournemouth,Arsenal,corners_total,9.5,0.45589166666666664,0.5441083333333334,2.0682503333926467,1.6764472442991043,9.345450039366131,4.094916429699354,5.250533609666778,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.04410833333333336,True,9.5,20,Bournemouth,Arsenal
Bournemouth,Arsenal,corners_total,10.5,0.3394333333333333,0.6605666666666667,2.777859446845515,1.3888684725223426,9.345450039366131,4.094916429699354,5.250533609666778,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.1605666666666667,False,9.5,20,Bournemouth,Arsenal
Bournemouth,Arsenal,corners_total,11.5,0.23977833333333334,0.7602216666666667,3.932374032575625,1.2110926043081371,9.345450039366131,4.094916429699354,5.250533609666778,9.726315789473684,0.029999999999999995,0.68,0.020399999999999998,0.2602216666666667,False,9.5,20,Bournemouth,Arsenal
