team,matches_w,tempo,attack,defense,mu_home_vs_avg,mu_away_vs_avg,mu_total_vs_avg
Luton town,0.0,1.0,-0.0066274877291108225,0.01045580337707775,5.098071589962298,4.467581258514173,9.565652848476471
Sheffield united,0.0,1.0,0.004303048527922136,0.006314699366078416,5.154101909176831,4.516682178266708,9.67078408744354
Brighton & hove albion,34.062874906981186,1.0,0.005960178107570414,-0.05837440963964002,5.162650004601795,4.524173110914996,9.686823115516791
West ham united,34.09664773828597,1.0,-0.09722048396717056,0.1608425177797743,4.656524490424004,4.080641312332844,8.737165802756849
Tottenham,34.15097932066542,1.0,0.18437466330716967,0.10850674571386447,6.171022217535404,5.407837594752103,11.578859812287508
Arsenal,34.1554991114678,1.0,0.22598027007469804,-0.452652237904742,6.433187292990258,5.637580107596597,12.070767400586856
Sunderland,34.177123962983856,1.0,-0.24021569584137303,0.12527800474228876,4.036080874203187,3.5369293963898634,7.57301027059305
Crystal palace,34.19377559241913,1.0,-0.1470681573271608,0.10443334642656056,4.430097881730675,3.882217407219594,8.31231528895027
Manchester united,34.202489506723225,1.0,0.0263203746634595,-0.04095940994933536,5.268839929027135,4.617230281226171,9.886070210253306
Nottingham Forest,34.21059026954083,1.0,-0.0455487331633367,0.12923908354345184,4.903460121591931,4.297037841568982,9.200497963160913
Chelsea,34.21914667670377,1.0,0.16139234266708027,-0.2166047307830494,6.030815119737291,5.284970233754894,11.315785353492185
Everton,34.21914667670377,1.0,-0.1271957329436533,0.11285210767018151,4.519015242459566,3.960138151826453,8.479153394286019
Burnley,34.24375264474958,1.0,-0.2573737689973345,0.25074289219833074,3.9674202299420167,3.476760173167758,7.444180403109774
Newcastle,34.25185340756718,1.0,0.19730134010386732,0.12158400378893744,6.251310841785683,5.478196738723066,11.729507580508749
Liverpool,34.27300568525198,1.0,0.20283385588815325,-0.19274985440514297,6.285992166716574,5.508588943804446,11.794581110521019
Wolverhampton wanderers,34.29915032757041,1.0,-0.3294725189658808,0.1625844664875716,3.6914425527922194,3.2349132950991373,6.926355847891356
Aston villa,34.31580195700569,1.0,0.10947600330761255,-0.04071718046611624,5.725705879943741,5.0175945609249935,10.743300440868733
Bournemouth,34.31580195700569,1.0,0.13335664235562286,-0.05486599023884355,5.8640851113597545,5.138860112012782,11.002945223372537
Leeds United,34.33185705843381,1.0,-0.22307911817452444,-0.0200699667299318,4.105841509683653,3.5980625723672675,7.70390408205092
Brentford,34.403906370689924,1.0,-0.0054892914635453925,0.11659399307532918,5.103877499513071,4.4726691377720345,9.576546637285105
Fulham,34.403906370689924,1.0,0.03281880383249001,-0.027167053188633924,5.30319060393832,4.647332728542266,9.950523332480586
Manchester city,34.403906370689924,1.0,0.1951734657374443,-0.30526683086401135,6.238022980152768,5.466552217741088,11.704575197893856
