team,matches_w,tempo,attack,defense,mu_home_vs_avg,mu_away_vs_avg,mu_total_vs_avg
Luton town,0.0,1.0,-0.008564051346628873,0.012840657760500598,5.02032117512021,4.524258637252223,9.544579812372433
Sheffield united,0.0,1.0,0.0068626493368673935,0.00700973006995608,5.0983686267363755,4.594594148621475,9.69296277535785
Brighton & hove albion,28.640914692588197,1.0,-0.037387828983763235,-0.11567049191725097,4.877682127359791,4.395713884570329,9.27339601193012
West ham united,28.683725302642213,1.0,-0.2029074671917008,0.15038654530487255,4.133607427791412,3.7251618882227073,7.8587693160141185
Tottenham,28.752596288490977,1.0,0.18745894122682838,0.11691376034835177,6.107496208394161,5.504008908782784,11.611505117176945
Arsenal,28.75832559794153,1.0,0.254111431262142,-0.45602258553190383,6.528448983284972,5.8833669540635105,12.411815937348482
Sunderland,28.785737367993473,1.0,-0.2513188624454823,0.24046252091571507,3.9382603869979422,3.5491172676212464,7.487377654619189
Crystal palace,28.806845056836146,1.0,-0.17129034993657805,0.1379038744512815,4.266388190068515,3.8448224616478193,8.111210651716334
Manchester united,28.817890858236396,1.0,0.0704598786511195,-0.043891367021737265,5.43314328744723,4.896289418191155,10.329432705638386
Nottingham Forest,28.828159425742466,1.0,-0.1404649069164417,0.23688516733581758,4.399949463081067,3.965186422827051,8.365135885908117
Chelsea,28.839005570302,1.0,0.22542867247319892,-0.2350809667098415,6.343855042854523,5.71701291011992,12.060867952974444
Everton,28.839005570302,1.0,-0.1812169081157429,0.15389745065958724,4.224247143296724,3.8068454103418228,8.031092553638548
Burnley,28.870196218592746,1.0,-0.3134618248603174,0.27526238038425144,3.700974403406137,3.3352777296083405,7.036252133014477
Newcastle,28.880464786098816,1.0,0.18731013783199002,0.025961650876535944,6.106587459838501,5.503189954505036,11.609777414343537
Liverpool,28.907277519196214,1.0,0.290740384810938,-0.25389730652,6.772012749326954,6.102863961087316,12.87487671041427
Wolverhampton wanderers,28.940418598698702,1.0,-0.19945411080652334,0.09207734889829872,4.147906923813018,3.7380484379328576,7.885955361745875
Aston villa,28.961526287541375,1.0,0.15695828630268246,-0.06670092946489477,5.924025781354055,5.3386673628414165,11.26269314419547
Bournemouth,28.961526287541382,1.0,0.2079379222164423,-0.06954299107584376,6.233861001943152,5.617887481231872,11.851748483175024
Leeds United,28.981877814495526,1.0,-0.259418822030112,0.09354521714002456,3.906489482257192,3.520485675105014,7.426975157362206
Brentford,29.073207883444155,1.0,-0.07062533023490566,0.2209307596838473,4.718224822259779,4.252012701975288,8.970237524235067
Fulham,29.073207883444155,1.0,0.05270119326848664,-0.11989751701549195,5.337509483812109,4.810105278368843,10.147614762180952
Manchester city,29.073207883444155,1.0,0.19614096548750062,-0.40337290857207625,6.1607524902862165,5.552002888636533,11.71275537892275
