home,away,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,imp_over,imp_under,p_over_absdiff_5050,is_main_line,main_line,mu_match,mu_league,alpha_used,gameweek,home_team,away_team,league
Man City,Aston Villa,7.5,0.725905,0.274095,1.288431286540926,3.290963559706803,0.776137626,0.303862374,0.22590500000000002,False,9.5,9.583495,9.846153846153847,0.0207199971656707,38,Man City,Aston Villa,EPL
Man City,Aston Villa,8.5,0.608975,0.39102499999999996,1.5358244805722578,2.33163317637012,0.65111607,0.42888392999999997,0.10897500000000004,False,9.5,9.583495,9.846153846153847,0.0207199971656707,38,Man City,Aston Villa,EPL
Man City,Aston Villa,9.5,0.484975,0.5150250000000001,1.9285091253291218,1.7810557753111218,0.51853527,0.5614647300000002,0.01502500000000001,True,9.5,9.583495,9.846153846153847,0.0207199971656707,38,Man City,Aston Villa,EPL
Man City,Aston Villa,10.5,0.367895,0.6321049999999999,2.5422436104227857,1.4563530990770148,0.39335333400000005,0.686646666,0.13210499999999997,False,9.5,9.583495,9.846153846153847,0.0207199971656707,38,Man City,Aston Villa,EPL
Man City,Aston Villa,11.5,0.264345,0.735655,3.5380987461706885,1.2541349990995185,0.28263767400000006,0.797362326,0.235655,False,9.5,9.583495,9.846153846153847,0.0207199971656707,38,Man City,Aston Villa,EPL
Man City,Aston Villa,12.5,0.180445,0.819555,5.1831788803041965,1.127309031296743,0.19293179400000002,0.8870682060000001,0.31955500000000003,False,9.5,9.583495,9.846153846153847,0.0207199971656707,38,Man City,Aston Villa,EPL
Brighton,Man United,7.5,0.72302,0.27698,1.293572395032628,3.257891257688591,0.773052984,0.306947016,0.22302,False,9.5,9.545025,9.846153846153847,0.0207199971656707,38,Brighton,Man United,EPL
Brighton,Man United,8.5,0.605195,0.39480499999999996,1.5454171185427685,2.309866215182064,0.6470744940000001,0.43292550599999996,0.10519500000000004,False,9.5,9.545025,9.846153846153847,0.0207199971656707,38,Brighton,Man United,EPL
Brighton,Man United,9.5,0.481335,0.5186649999999999,1.9430930912077675,1.7687950722812626,0.514643382,0.5653566179999999,0.018664999999999987,True,9.5,9.545025,9.846153846153847,0.0207199971656707,38,Brighton,Man United,EPL
Brighton,Man United,10.5,0.36239,0.63761,2.5808623666671013,1.4439753199665923,0.387467388,0.692532612,0.13761,False,9.5,9.545025,9.846153846153847,0.0207199971656707,38,Brighton,Man United,EPL
Brighton,Man United,11.5,0.26008,0.73992,3.5961193211953666,1.2470033511868297,0.27807753599999996,0.8019224640000001,0.23992000000000002,False,9.5,9.545025,9.846153846153847,0.0207199971656707,38,Brighton,Man United,EPL
Brighton,Man United,12.5,0.17717,0.82283,5.278990309061866,1.1228765668636456,0.189430164,0.8905698360000001,0.32283,False,9.5,9.545025,9.846153846153847,0.0207199971656707,38,Brighton,Man United,EPL
Sunderland,Chelsea,7.5,0.753835,0.24616499999999997,1.2406942010605646,3.649640124680758,0.8060003820000001,0.273999618,0.25383500000000003,False,9.5,9.86253,9.846153846153847,0.0207199971656707,38,Sunderland,Chelsea,EPL
Sunderland,Chelsea,8.5,0.640165,0.359835,1.4609963260354608,2.528217549843594,0.684464418,0.395535582,0.14016499999999998,False,9.5,9.86253,9.846153846153847,0.0207199971656707,38,Sunderland,Chelsea,EPL
Sunderland,Chelsea,9.5,0.51834,0.48166,1.8043730236070739,1.9018968438843495,0.5542091280000001,0.525790872,0.018340000000000023,True,9.5,9.86253,9.846153846153847,0.0207199971656707,38,Sunderland,Chelsea,EPL
Sunderland,Chelsea,10.5,0.398855,0.601145,2.3449090848967438,1.5301183117775008,0.426455766,0.6535442340000001,0.10114499999999998,False,9.5,9.86253,9.846153846153847,0.0207199971656707,38,Sunderland,Chelsea,EPL
Sunderland,Chelsea,11.5,0.293645,0.7063550000000001,3.1850660254950394,1.3054237802047746,0.313965234,0.7660347660000001,0.206355,False,9.5,9.86253,9.846153846153847,0.0207199971656707,38,Sunderland,Chelsea,EPL
Sunderland,Chelsea,12.5,0.20611,0.79389,4.53776484914119,1.163294988757382,0.220372812,0.859627188,0.29389,False,9.5,9.86253,9.846153846153847,0.0207199971656707,38,Sunderland,Chelsea,EPL
Liverpool,Brentford,7.5,0.826405,0.17359500000000005,1.1317437733998352,5.091448162331902,0.883592226,0.1964077740000001,0.32640499999999995,False,10.5,10.77858,9.846153846153847,0.0207199971656707,38,Liverpool,Brentford,EPL
Liverpool,Brentford,8.5,0.732695,0.267305,1.2764911908181313,3.3715156809902336,0.7833974940000001,0.29660250600000004,0.23269499999999999,False,10.5,10.77858,9.846153846153847,0.0207199971656707,38,Liverpool,Brentford,EPL
Liverpool,Brentford,9.5,0.62348,0.37651999999999997,1.5000941699116102,2.419109899930519,0.6666248160000001,0.413375184,0.12348000000000003,False,10.5,10.77858,9.846153846153847,0.0207199971656707,38,Liverpool,Brentford,EPL
Liverpool,Brentford,10.5,0.50791,0.49209,1.8414260657527726,1.8623963676059632,0.543057372,0.536942628,0.007909999999999973,True,10.5,10.77858,9.846153846153847,0.0207199971656707,38,Liverpool,Brentford,EPL
Liverpool,Brentford,11.5,0.39544,0.60456,2.3651596021052264,1.5216171152661724,0.42280444800000005,0.6571955520000001,0.10455999999999999,False,10.5,10.77858,9.846153846153847,0.0207199971656707,38,Liverpool,Brentford,EPL
Liverpool,Brentford,12.5,0.294515,0.7054849999999999,3.175657311364415,1.3070108971589165,0.3148954380000001,0.7651045620000001,0.20548499999999997,False,10.5,10.77858,9.846153846153847,0.0207199971656707,38,Liverpool,Brentford,EPL
Burnley,Wolves,7.5,0.689855,0.310145,1.3557613020946297,2.9205007511615544,0.737592966,0.34240703400000005,0.189855,False,9.5,9.212965,9.846153846153847,0.0207199971656707,38,Burnley,Wolves,EPL
Burnley,Wolves,8.5,0.56532,0.43467999999999996,1.6544235354427415,2.1027847228551604,0.6044401440000001,0.475559856,0.06532000000000004,False,9.5,9.212965,9.846153846153847,0.0207199971656707,38,Burnley,Wolves,EPL
Burnley,Wolves,9.5,0.43942,0.5605800000000001,2.1284391084986822,1.6388817859752283,0.469827864,0.6101721360000001,0.06058000000000002,True,9.5,9.212965,9.846153846153847,0.0207199971656707,38,Burnley,Wolves,EPL
Burnley,Wolves,10.5,0.322995,0.6770050000000001,2.895644555044168,1.3611854638252943,0.34534625399999996,0.7346537460000001,0.17700500000000002,False,9.5,9.212965,9.846153846153847,0.0207199971656707,38,Burnley,Wolves,EPL
Burnley,Wolves,11.5,0.22552,0.7744800000000001,4.1472096180227505,1.1920741147381062,0.24112598400000002,0.8388740160000001,0.27448,False,9.5,9.212965,9.846153846153847,0.0207199971656707,38,Burnley,Wolves,EPL
Burnley,Wolves,12.5,0.149565,0.850435,6.253326065967912,1.086855985197769,0.159914898,0.9200851020000002,0.350435,False,9.5,9.212965,9.846153846153847,0.0207199971656707,38,Burnley,Wolves,EPL
Crystal Palace,Arsenal,7.5,0.6998,0.3002,1.3364943027386265,3.0141014131795316,0.74822616,0.33177384000000004,0.19979999999999998,False,9.5,9.32979,9.846153846153847,0.0207199971656707,38,Crystal Palace,Arsenal,EPL
Crystal Palace,Arsenal,8.5,0.578015,0.42198500000000005,1.6180872694592543,2.1645660613678457,0.618013638,0.4619863620000001,0.07801499999999995,False,9.5,9.32979,9.846153846153847,0.0207199971656707,38,Crystal Palace,Arsenal,EPL
Crystal Palace,Arsenal,9.5,0.45509,0.54491,2.055151097709224,1.6851534402646775,0.486582228,0.593417772,0.044910000000000005,True,9.5,9.32979,9.846153846153847,0.0207199971656707,38,Crystal Palace,Arsenal,EPL
Crystal Palace,Arsenal,10.5,0.33864,0.66136,2.761867213136342,1.3929010009319733,0.362073888,0.717926112,0.16136,False,9.5,9.32979,9.846153846153847,0.0207199971656707,38,Crystal Palace,Arsenal,EPL
Crystal Palace,Arsenal,11.5,0.23851,0.76149,3.9213396212171014,1.2121430924059782,0.255014892,0.824985108,0.26149,False,9.5,9.32979,9.846153846153847,0.0207199971656707,38,Crystal Palace,Arsenal,EPL
Crystal Palace,Arsenal,12.5,0.16065,0.83935,5.8218407286429565,1.1010390263062664,0.17176697999999999,0.9082330200000002,0.33935000000000004,False,9.5,9.32979,9.846153846153847,0.0207199971656707,38,Crystal Palace,Arsenal,EPL
Fulham,Newcastle,7.5,0.83038,0.16962,1.1263261555631046,5.204058849495828,0.8878422960000001,0.192157704,0.33038,False,10.5,10.8031,9.846153846153847,0.0207199971656707,38,Fulham,Newcastle,EPL
Fulham,Newcastle,8.5,0.73693,0.26307,1.2691554327500452,3.423784656763739,0.787925556,0.29207444400000004,0.23692999999999997,False,10.5,10.8031,9.846153846153847,0.0207199971656707,38,Fulham,Newcastle,EPL
Fulham,Newcastle,9.5,0.62821,0.37178999999999995,1.4887994668287525,2.4490723487026047,0.6716821320000002,0.408317868,0.12821000000000005,False,10.5,10.8031,9.846153846153847,0.0207199971656707,38,Fulham,Newcastle,EPL
Fulham,Newcastle,10.5,0.510325,0.48967499999999997,1.8327119248645292,1.8713957736135851,0.54563949,0.5343605100000001,0.010325000000000029,True,10.5,10.8031,9.846153846153847,0.0207199971656707,38,Fulham,Newcastle,EPL
Fulham,Newcastle,11.5,0.397135,0.602865,2.3550649352398825,1.5258247564206162,0.42461674200000005,0.6553832580000001,0.10286499999999998,False,10.5,10.8031,9.846153846153847,0.0207199971656707,38,Fulham,Newcastle,EPL
Fulham,Newcastle,12.5,0.295605,0.704395,3.1639475416738243,1.3090048087522115,0.316060866,0.763939134,0.204395,False,10.5,10.8031,9.846153846153847,0.0207199971656707,38,Fulham,Newcastle,EPL
