home,away,market,line,p_over,p_under,fair_odds_over,fair_odds_under,bookmaker_odds_over,bookmaker_odds_under,implied_p_over,implied_p_under,over_price_boost,margin,overround,mu_match,mu_league,mu_home,mu_away,alpha_base,alpha_squeeze,alpha_pre_uncertainty,alpha_used,low_sample_flag,home_matches_w,away_matches_w,promoted_home_flag,promoted_away_flag,promoted_pair_flag,p_home,p_draw,p_away,fair_odds_home,fair_odds_draw,fair_odds_away,bookmaker_odds_home,bookmaker_odds_draw,bookmaker_odds_away,mu_home_goals,mu_away_goals,mu_total_goals,calib_temp,calib_rows,gameweek,home_team,away_team
Tottenham,Newcastle,corners_total,7.5,0.8397733333333334,0.16022666666666663,1.190797516790245,6.24115835899143,1.1025902933243008,5.778850332399472,0.9069552000000001,0.17304479999999997,0.0,0.08,0.08000000000000007,11.020800000000001,9.84,5.3788610449544345,5.641938955045568,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.718497797185336,30.804087208995323,0,0,0,0.35808309466231414,0.2976328757967742,0.34428402954091164,2.7926478934813654,3.359843892657903,2.9045785287614363,3.016059724959875,3.628631404070535,3.1369448110623512,1.5234843564426412,1.6245417611943844,3.1480261176370257,2.9,1010,26,Tottenham,Newcastle
Tottenham,Newcastle,corners_total,8.5,0.7516216666666666,0.24837833333333337,1.3304565905275927,4.026116072926382,1.2319042504885116,3.7278852527096125,0.8117514,0.26824860000000006,0.0,0.08,0.08000000000000007,11.020800000000001,9.84,5.3788610449544345,5.641938955045568,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.718497797185336,30.804087208995323,0,0,0,0.35808309466231414,0.2976328757967742,0.34428402954091164,2.7926478934813654,3.359843892657903,2.9045785287614363,3.016059724959875,3.628631404070535,3.1369448110623512,1.5234843564426412,1.6245417611943844,3.1480261176370257,2.9,1010,26,Tottenham,Newcastle
Tottenham,Newcastle,corners_total,9.5,0.647015,0.352985,1.5455592219654877,2.832981571454878,1.4310733536717477,2.623131084680442,0.6987762000000001,0.3812238,0.0,0.08,0.08000000000000007,11.020800000000001,9.84,5.3788610449544345,5.641938955045568,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.718497797185336,30.804087208995323,0,0,0,0.35808309466231414,0.2976328757967742,0.34428402954091164,2.7926478934813654,3.359843892657903,2.9045785287614363,3.016059724959875,3.628631404070535,3.1369448110623512,1.5234843564426412,1.6245417611943844,3.1480261176370257,2.9,1010,26,Tottenham,Newcastle
Tottenham,Newcastle,corners_total,10.5,0.53408,0.46592,1.872378669862193,2.146291208791209,1.7336839535761044,1.9873066748066748,0.5768064,0.5031936,0.0,0.08,0.08000000000000007,11.020800000000001,9.84,5.3788610449544345,5.641938955045568,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.718497797185336,30.804087208995323,0,0,0,0.35808309466231414,0.2976328757967742,0.34428402954091164,2.7926478934813654,3.359843892657903,2.9045785287614363,3.016059724959875,3.628631404070535,3.1369448110623512,1.5234843564426412,1.6245417611943844,3.1480261176370257,2.9,1010,26,Tottenham,Newcastle
Tottenham,Newcastle,corners_total,11.5,0.42198166666666664,0.5780183333333333,2.3697711985907763,1.730048931550614,2.1942325912877556,1.601897158843161,0.4557402,0.6242598,0.0,0.08,0.08000000000000007,11.020800000000001,9.84,5.3788610449544345,5.641938955045568,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.718497797185336,30.804087208995323,0,0,0,0.35808309466231414,0.2976328757967742,0.34428402954091164,2.7926478934813654,3.359843892657903,2.9045785287614363,3.016059724959875,3.628631404070535,3.1369448110623512,1.5234843564426412,1.6245417611943844,3.1480261176370257,2.9,1010,26,Tottenham,Newcastle
Tottenham,Newcastle,corners_total,12.5,0.32018166666666664,0.6798183333333334,3.1232269180517314,1.470981218021481,2.891876775973825,1.362019646316186,0.3457962,0.7342038000000002,0.0,0.08,0.08000000000000007,11.020800000000001,9.84,5.3788610449544345,5.641938955045568,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.718497797185336,30.804087208995323,0,0,0,0.35808309466231414,0.2976328757967742,0.34428402954091164,2.7926478934813654,3.359843892657903,2.9045785287614363,3.016059724959875,3.628631404070535,3.1369448110623512,1.5234843564426412,1.6245417611943844,3.1480261176370257,2.9,1010,26,Tottenham,Newcastle
Chelsea,Leeds United,corners_total,7.5,0.7040533333333333,0.2959466666666667,1.4203469434133777,3.378987204901784,1.3151360587160905,3.1286918563905406,0.7603776,0.31962240000000003,0.0,0.08,0.08000000000000007,9.390159572043917,9.84,5.471488497331312,3.9186710747126043,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.776694439214204,18.492637305833597,0,1,0,0.2836315462374053,0.29096628938338476,0.42540216437920997,3.5257009076239356,3.4368242524561805,2.3507167657675216,3.8077569802338505,3.711770192652675,2.5387741070289236,2.1363723952373914,1.1049740868344466,3.241346482071838,2.9,1010,26,Chelsea,Leeds United
Chelsea,Leeds United,corners_total,8.5,0.5831166666666666,0.4168833333333334,1.7149226855689257,2.398752648622716,1.5878913755267832,2.221067267243255,0.6297659999999999,0.4502340000000001,0.0,0.08,0.08000000000000007,9.390159572043917,9.84,5.471488497331312,3.9186710747126043,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.776694439214204,18.492637305833597,0,1,0,0.2836315462374053,0.29096628938338476,0.42540216437920997,3.5257009076239356,3.4368242524561805,2.3507167657675216,3.8077569802338505,3.711770192652675,2.5387741070289236,2.1363723952373914,1.1049740868344466,3.241346482071838,2.9,1010,26,Chelsea,Leeds United
Chelsea,Leeds United,corners_total,9.5,0.46001,0.53999,2.173865785526402,1.8518861460397416,2.0128386903022237,1.7147093944812422,0.4968108,0.5831892,0.0,0.08,0.08000000000000007,9.390159572043917,9.84,5.471488497331312,3.9186710747126043,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.776694439214204,18.492637305833597,0,1,0,0.2836315462374053,0.29096628938338476,0.42540216437920997,3.5257009076239356,3.4368242524561805,2.3507167657675216,3.8077569802338505,3.711770192652675,2.5387741070289236,2.1363723952373914,1.1049740868344466,3.241346482071838,2.9,1010,26,Chelsea,Leeds United
Chelsea,Leeds United,corners_total,10.5,0.34495166666666666,0.6550483333333333,2.898956858690348,1.5266049070170393,2.6842193136021737,1.413523062052814,0.37254780000000004,0.7074522000000001,0.0,0.08,0.08000000000000007,9.390159572043917,9.84,5.471488497331312,3.9186710747126043,0.029999999999999995,0.85,0.025499999999999995,0.025499999999999995,0,30.776694439214204,18.492637305833597,0,1,0,0.2836315462374053,0.29096628938338476,0.42540216437920997,3.5257009076239356,3.4368242524561805,2.3507167657675216,3.8077569802338505,3.711770192652675,2.5387741070289236,2.1363723952373914,1.1049740868344466,3.241346482071838,2.9,1010,26,Chelsea,Leeds United
