timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1755968400,Aug 23 2025 - 5:00pm,complete,N/A,Nice,Auxerre,N/A,2,0.00,0.00,1.42,0.55,3,1,4,3,2,1,"3,24,76","21",5,4,2,0,2,1,1,1,2,1,16,12,6,8,10,4,10,15,55,45,1.36,0.00,1.77,1.58,0.50,0,0,0,0,0,0,0,0,50,9.00,2.00,1.63,3.97,4.90,1.25,1.77,3.05,5.50,1.83,2.00,Allianz Riviera
1755975900,Aug 23 2025 - 7:05pm,complete,N/A,Olympique Lyonnais,Metz,N/A,2,0.00,0.00,2.45,0.33,3,0,3,2,2,0,"30,25,83","",4,3,0,0,2,0,0,0,0,2,13,11,8,2,5,9,13,15,53,47,0.00,0.00,1.59,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.52,4.20,5.70,1.11,1.70,2.30,3.92,1.70,2.05,N/A
1756040400,Aug 24 2025 - 1:00pm,complete,N/A,Lorient,Rennes,N/A,2,0.00,0.00,2.00,1.33,4,0,4,1,1,0,"45'4,69,47,65","",3,2,6,0,0,2,3,3,2,0,22,4,7,1,15,3,18,7,51,49,0.00,0.00,2.44,0.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.30,2.60,1.29,2.02,3.38,6.50,1.75,2.05,Stade Yves Allainmat - Le Moustoir
1756048500,Aug 24 2025 - 3:15pm,complete,N/A,Le Havre,Lens,N/A,2,0.00,0.00,1.67,2.00,1,2,3,3,1,2,"45'3","9,40",7,0,3,0,1,0,2,1,0,1,18,6,6,3,12,3,17,16,57,43,0.00,0.00,2.04,0.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.10,3.70,1.78,1.25,1.84,2.93,5.50,1.75,2.16,Stade Océane
1756048500,Aug 24 2025 - 3:15pm,complete,N/A,Strasbourg,Nantes,N/A,2,0.00,0.00,2.00,0.82,1,0,1,0,0,0,"81","",7,6,2,0,2,0,0,2,1,1,15,9,4,2,11,7,11,9,49,51,0.00,0.00,1.65,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.60,5.25,1.28,1.97,3.22,6.00,1.92,1.91,Stade de la Meinau
1756048500,Aug 24 2025 - 3:15pm,complete,N/A,Toulouse,Brest,N/A,2,0.00,0.00,1.42,0.82,2,0,2,0,0,0,"52,65","",3,9,0,0,1,0,0,0,0,1,6,16,3,2,3,14,14,10,47,53,0.00,0.00,0.87,1.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.03,3.40,3.20,1.30,1.99,3.50,6.10,1.79,1.95,N/A
1756061100,Aug 24 2025 - 6:45pm,complete,N/A,Lille,Monaco,N/A,2,0.00,0.00,1.82,1.09,1,0,1,0,0,0,"90'1","",8,3,1,0,2,0,0,1,0,2,18,6,1,1,17,5,7,14,50,50,0.00,0.00,1.60,0.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.20,3.74,2.12,1.21,1.68,2.61,4.75,1.56,2.30,Stade Pierre-Mauroy
1756493100,Aug 29 2025 - 6:45pm,complete,N/A,Lens,Brest,N/A,3,0.00,0.00,2.50,0.82,3,1,4,1,0,1,"60,78,90'2","24",15,1,1,0,3,1,0,1,1,3,30,9,10,2,20,7,7,12,68,32,2.04,1.51,2.87,0.86,1.50,0,50,0,0,0,0,50,50,50,21.00,3.00,1.85,3.85,4.20,1.24,1.80,3.05,5.10,1.72,2.10,Stade Bollaert-Delelis
1756566000,Aug 30 2025 - 3:00pm,complete,N/A,Lorient,Lille,N/A,3,3.00,1.00,2.00,1.42,1,7,8,0,0,0,"64","46,53,77,80,90'5,87,90'3",3,8,3,0,3,0,2,1,1,2,6,20,2,11,4,9,14,18,41,59,2.44,1.37,0.73,2.43,5.00,50,100,100,100,50,50,100,100,100,5.00,7.00,3.35,3.42,2.17,1.27,1.92,3.15,6.00,1.71,2.00,Stade Yves Allainmat - Le Moustoir
1756573200,Aug 30 2025 - 5:00pm,complete,N/A,Nantes,Auxerre,N/A,3,0.00,0.00,0.67,0.55,1,0,1,1,1,0,"8","",3,9,1,0,3,0,1,0,1,2,4,14,3,4,1,10,13,11,43,57,0.47,1.58,0.62,1.55,2.50,50,50,50,50,0,50,50,0,100,6.00,5.00,2.09,3.05,3.20,1.35,2.30,4.00,9.50,1.95,1.92,Stade de la Beaujoire - Louis Fonteneau
