home,away,market,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,mu_match,mu_home,mu_away,mu_league,alpha_base,alpha_squeeze,alpha_used,p_over_absdiff_5050,is_main_line,main_line,gameweek,home_team,away_team
Manchester united,Newcastle,corners_total,7.5,0.8205966666666666,0.17940333333333336,1.1490396316187765,4.768535314889409,10.678328420382924,5.600214061335554,5.07811435904737,9.68235294117647,0.029999999999999995,0.68,0.020399999999999998,0.32059666666666664,False,10.5,18,Manchester united,Newcastle
Manchester united,Newcastle,corners_total,8.5,0.7242233333333333,0.27577666666666667,1.3019438178475278,3.2059738670503206,10.678328420382924,5.600214061335554,5.07811435904737,9.68235294117647,0.029999999999999995,0.68,0.020399999999999998,0.22422333333333333,False,10.5,18,Manchester united,Newcastle
Manchester united,Newcastle,corners_total,9.5,0.6123383333333333,0.3876616666666667,1.5398318874493608,2.322457111539857,10.678328420382924,5.600214061335554,5.07811435904737,9.68235294117647,0.029999999999999995,0.68,0.020399999999999998,0.11233833333333332,False,10.5,18,Manchester united,Newcastle
Manchester united,Newcastle,corners_total,10.5,0.495715,0.504285,1.902097155773504,1.8041927648652891,10.678328420382924,5.600214061335554,5.07811435904737,9.68235294117647,0.029999999999999995,0.68,0.020399999999999998,0.004284999999999983,True,10.5,18,Manchester united,Newcastle
Manchester united,Newcastle,corners_total,11.5,0.38342166666666666,0.6165783333333333,2.459167474210541,1.4850934108280736,10.678328420382924,5.600214061335554,5.07811435904737,9.68235294117647,0.029999999999999995,0.68,0.020399999999999998,0.11657833333333334,False,10.5,18,Manchester united,Newcastle
Manchester united,Newcastle,corners_total,12.5,0.28326,0.7167399999999999,3.3287371728244812,1.282732487992921,10.678328420382924,5.600214061335554,5.07811435904737,9.68235294117647,0.029999999999999995,0.68,0.020399999999999998,0.21674,False,10.5,18,Manchester united,Newcastle
Nottingham Forest,Manchester city,corners_total,7.5,0.735935,0.264065,1.2812246891019758,3.3389341014623355,9.670418407203314,3.8065362427373644,5.8638821644659505,9.68235294117647,0.029999999999999995,0.68,0.020399999999999998,0.235935,False,9.5,18,Nottingham Forest,Manchester city
Nottingham Forest,Manchester city,corners_total,8.5,0.6191883333333333,0.38081166666666666,1.5227969275491235,2.3623147234554427,9.670418407203314,3.8065362427373644,5.8638821644659505,9.68235294117647,0.029999999999999995,0.68,0.020399999999999998,0.11918833333333334,False,9.5,18,Nottingham Forest,Manchester city
Nottingham Forest,Manchester city,corners_total,9.5,0.49670166666666665,0.5032983333333334,1.8983187592302475,1.8076054189641773,9.670418407203314,3.8065362427373644,5.8638821644659505,9.68235294117647,0.029999999999999995,0.68,0.020399999999999998,0.0032983333333333476,True,9.5,18,Nottingham Forest,Manchester city
Nottingham Forest,Manchester city,corners_total,10.5,0.37875,0.6212500000000001,2.489499911747228,1.4742458826892424,9.670418407203314,3.8065362427373644,5.8638821644659505,9.68235294117647,0.029999999999999995,0.68,0.020399999999999998,0.12125000000000002,False,9.5,18,Nottingham Forest,Manchester city
