timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1724598000,Aug 25 2024 - 3:00pm,complete,N/A,Nantes,Auxerre,Gaël Angoula,2,0,0,1.24,0.88,2,0,2,1,1,0,"14,90'6",,3,12,2,0,1,1,0,2,1,1,8,7,5,3,3,4,9,6,35,65,0,0,1.26,1.03,0,0,0,0,0,0,0,0,0,0,0,0,2.2,3.4,3.25,1.33,2,3.55,7,1.8,1.95,Stade de la Beaujoire - Louis Fonteneau (Nantes)
1724598000,Aug 25 2024 - 3:00pm,complete,N/A,Nice,Toulouse,Bastien Dechepy,2,0,0,2.18,1.29,1,1,2,0,0,0,53,73,4,4,4,0,2,0,1,3,0,2,8,10,3,3,5,7,12,21,57,43,0,0,1.03,1.04,0,0,0,0,0,0,0,0,0,0,0,0,1.71,3.8,4.6,1.32,1.85,3.5,6.5,1.8,1.95,Allianz Riviera (Nice)
1724611500,Aug 25 2024 - 6:45pm,complete,N/A,Olympique Marseille,Metz,Hakim Ben El Hadj,2,0,0,2,1,2,2,4,1,1,0,"25,71","51,55",2,4,1,0,1,0,0,1,0,1,16,8,11,3,5,5,10,13,66,34,0,0,2.08,0.97,0,0,0,0,0,0,0,0,0,0,0,0,1.62,4.2,5,1.2,1.6,2.7,4.75,1.7,2.05,Orange Vélodrome (Marseille)
1725043500,Aug 30 2024 - 6:45pm,complete,N/A,Olympique Lyonnais,Strasbourg,Thomas Léonard,3,0,1,2.06,1.29,4,3,7,2,1,1,"45'2,61,63,72","3,48,58",9,2,3,0,2,0,1,2,1,1,15,10,13,8,2,2,11,6,48,52,0.34,1.09,2.27,1.39,2,50,100,0,0,0,0,0,100,100,4,5,1.73,3.9,4.5,1.26,1.66,2.96,5.55,1.72,2.1,Groupama Stadium (Décines-Charpieu)
1725116400,Aug 31 2024 - 3:00pm,complete,N/A,Brest,Paris,Gaël Angoula,3,0,0,1.94,0.53,4,0,4,2,2,0,"10,32,77,84",,7,2,0,0,5,0,0,0,1,4,17,4,9,0,8,4,12,28,47,53,1.42,1.07,2.03,0.53,3.5,50,50,50,50,50,50,100,50,50,9,5,1.75,3.8,4,1.33,1.85,3.6,7,1.88,1.9,Stade Francis-Le Blé (Brest)
1725123600,Aug 31 2024 - 5:00pm,complete,N/A,Lorient,Nantes,Benoît Millot,3,1,1,0.76,0.88,1,3,4,3,1,2,30,"24,45'7,85",8,3,2,0,2,0,0,2,0,2,9,8,5,4,4,4,11,14,69,31,1.08,0.98,1.46,1.05,1,50,50,0,0,0,0,0,50,50,11,7,2.2,3.3,3.2,1.28,1.87,3.24,6.05,1.75,2,Stade de la Mosson-Mondial 98 (Lorient)
1725130800,Aug 31 2024 - 7:00pm,complete,N/A,Toulouse,Olympique Marseille,Stéphanie Frappart,3,1,3,1.18,1.82,1,3,4,2,0,2,90,"16,17,52",2,3,4,1,2,0,2,3,1,1,3,8,1,4,2,4,10,15,24,76,1.39,0.83,0.44,1.21,3,50,50,50,50,50,50,50,50,50,10,2,3.9,3.7,2,1.25,1.68,3,5.5,1.73,2.06,Stadium de Toulouse (Toulouse)
1725195600,Sep 01 2024 - 1:00pm,complete,N/A,Monaco,Lens,Willy Delajod,3,3,3,2.29,1.71,1,1,2,0,0,0,84,90'4,7,7,1,0,4,0,0,1,3,1,9,10,3,4,6,6,11,21,61,39,1.44,1.18,1.09,1.21,1,0,0,0,0,0,0,100,0,0,8,1,1.8,3.9,3.8,1.16,1.55,2.4,4.05,1.53,2.38,Stade Louis-II (Monaco)
1725202800,Sep 01 2024 - 3:00pm,complete,N/A,Angers SCO,Nice,Jeremy Stinat,3,0,0,1,1.35,1,4,5,2,0,2,67,"6,25,72,85",4,7,6,0,3,1,4,2,2,2,12,10,8,8,4,2,14,13,54,46,0.98,0.84,1.73,1.42,2,50,50,50,0,0,50,100,0,50,12,1,3.6,3.4,2.05,1.39,1.85,3.97,8,1.95,1.8,Stade Raymond Kopa (Angers)
1725202800,Sep 01 2024 - 3:00pm,complete,N/A,Le Havre,Auxerre,Marc Bollengier,3,0,0,0.65,0.88,3,1,4,2,1,1,"23,52,90'8",17,2,2,1,0,4,1,0,1,4,1,17,4,8,3,9,1,10,16,49,51,0.6,1.03,1.96,0.7,3.5,50,100,50,50,50,0,100,50,100,14,6,2.75,3.25,2.6,1.35,2.15,3.75,7,1.8,1.95,Stade Océane (Le Havre)
1725202800,Sep 01 2024 - 3:00pm,complete,N/A,Metz,Rennes,Mathieu Vernice,3,0,0,0.94,0.76,2,1,3,2,1,1,"41,48",13,3,5,2,0,1,0,1,1,0,1,10,8,7,5,3,3,9,13,53,47,0.26,1.35,1.38,1.17,3,50,100,50,50,0,0,100,50,100,5,8,2.88,3.5,2.38,1.23,1.75,2.85,5.15,1.67,2.1,Stade Auguste-Delaune (Metz)
1725216300,Sep 01 2024 - 6:45pm,complete,N/A,Lille,PSG,Benoît Bastien,3,3,3,2.18,2.35,1,3,4,2,0,2,78,"33,36,90'2",3,1,3,0,2,0,1,2,1,1,8,9,4,7,4,2,9,9,42,58,1.39,2.06,1.29,1.31,3.5,50,100,50,50,50,0,100,50,100,11,1,3.6,3.6,2,1.21,1.8,2.74,4.95,1.67,2.1,Decathlon Arena - Stade Pierre-Mauroy (Villeneuve d'Ascq)
1726253100,Sep 13 2024 - 6:45pm,complete,N/A,Paris,Lille,François Letexier,4,0,3,1.24,1.35,1,0,1,1,1,0,6,,2,7,1,0,1,0,0,1,0,1,10,12,5,4,5,8,12,10,29,71,1.52,1.88,1.18,1.62,2,0,100,0,0,0,0,50,50,100,10,5,4.1,3.5,1.95,1.3,1.88,3.4,6.5,1.75,2,Stade Geoffroy-Guichard (Saint-Ètienne)
1726326000,Sep 14 2024 - 3:00pm,complete,N/A,Olympique Marseille,Nice,Benoît Millot,4,1,1.5,2,1.35,2,0,2,1,1,0,"40,53",,1,2,4,1,3,0,1,4,2,1,8,8,5,4,3,4,18,4,56,44,2.08,1.13,1,1.1,4,100,100,100,75,25,50,100,75,100,8,3,1.77,3.85,4.4,1.22,1.76,2.82,5.15,1.75,2,Orange Vélodrome (Marseille)
1726333200,Sep 14 2024 - 5:00pm,complete,N/A,Auxerre,Monaco,Abdelatif Kherradji,4,3,3,1.59,1.29,0,3,3,2,0,2,,"8,25,89",1,6,3,0,0,0,3,0,0,0,8,13,3,9,5,4,13,16,42,58,1.72,1.8,1.23,1.78,2.5,50,100,50,0,0,50,50,50,100,9,3,3.8,3.8,1.88,1.15,1.57,2.2,3.75,1.44,2.63,Stade de l'Abbé Deschamps (Auxerre)
