home,away,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,imp_over,imp_under,p_over_absdiff_5050,is_main_line,main_line,mu_match,mu_league,alpha_used,gameweek,home_team,away_team,league
Aston Villa,Leeds United,7.5,0.75662,0.24338000000000004,1.2361273995618551,3.689738780367767,0.808978104,0.27102189600000004,0.25661999999999996,False,9.5,9.91278,9.846153846153847,0.0207199971656707,27,Aston Villa,Leeds United,EPL
Aston Villa,Leeds United,8.5,0.64786,0.35214,1.4436432455414607,2.5819238765806514,0.692691912,0.387308088,0.14786,False,9.5,9.91278,9.846153846153847,0.0207199971656707,27,Aston Villa,Leeds United,EPL
Aston Villa,Leeds United,9.5,0.52564,0.47436,1.779314194232727,1.9305551810278505,0.5620142880000001,0.517985712,0.025639999999999996,True,9.5,9.91278,9.846153846153847,0.0207199971656707,27,Aston Villa,Leeds United,EPL
Aston Villa,Leeds United,10.5,0.40712,0.5928800000000001,2.2973047579497226,1.5510914894315075,0.4352927039999999,0.6447072960000001,0.09288000000000002,False,9.5,9.91278,9.846153846153847,0.0207199971656707,27,Aston Villa,Leeds United,EPL
Aston Villa,Leeds United,11.5,0.30012,0.6998800000000001,3.1163491705200945,1.3173291957814859,0.320888304,0.7591116960000002,0.19988,False,9.5,9.91278,9.846153846153847,0.0207199971656707,27,Aston Villa,Leeds United,EPL
Aston Villa,Leeds United,12.5,0.2117,0.7883,4.417943850054279,1.1714397918135944,0.22634964000000002,0.85365036,0.2883,False,9.5,9.91278,9.846153846153847,0.0207199971656707,27,Aston Villa,Leeds United,EPL
Brentford,Brighton,7.5,0.7728,0.22719999999999996,1.2102467819053968,3.94131787579993,0.8262777600000002,0.25372224,0.27280000000000004,False,9.5,10.07968,9.846153846153847,0.0207199971656707,27,Brentford,Brighton,EPL
Brentford,Brighton,8.5,0.6637,0.33630000000000004,1.4091889604587777,2.699988411649737,0.70962804,0.37037196000000006,0.16369999999999996,False,9.5,10.07968,9.846153846153847,0.0207199971656707,27,Brentford,Brighton,EPL
Brentford,Brighton,9.5,0.5443,0.4557,1.7183147401368561,2.007893269389161,0.58196556,0.49803444,0.044300000000000006,True,9.5,10.07968,9.846153846153847,0.0207199971656707,27,Brentford,Brighton,EPL
Brentford,Brighton,10.5,0.42668,0.57332,2.1919909840079,1.6030939867841956,0.45620625600000003,0.6237937440000001,0.07332,False,9.5,10.07968,9.846153846153847,0.0207199971656707,27,Brentford,Brighton,EPL
Brentford,Brighton,11.5,0.31782,0.68218,2.9427937607969628,1.3510102103191088,0.33981314400000007,0.740186856,0.18218,False,9.5,10.07968,9.846153846153847,0.0207199971656707,27,Brentford,Brighton,EPL
Brentford,Brighton,12.5,0.22592,0.77408,4.139866824789707,1.1926821754278618,0.24155366400000003,0.8384463360000001,0.27408,False,9.5,10.07968,9.846153846153847,0.0207199971656707,27,Brentford,Brighton,EPL
Chelsea,Burnley,7.5,0.78682,0.21318000000000004,1.1886819260523256,4.188796497442303,0.841267944,0.23873205600000005,0.28681999999999996,False,10.5,10.26944,9.846153846153847,0.0207199971656707,27,Chelsea,Burnley,EPL
Chelsea,Burnley,8.5,0.6794,0.3206,1.3766245408544167,2.828170112848513,0.7264144800000001,0.35358552,0.1794,False,10.5,10.26944,9.846153846153847,0.0207199971656707,27,Chelsea,Burnley,EPL
Chelsea,Burnley,9.5,0.56432,0.43567999999999996,1.65735524712307,2.098067642775014,0.603370944,0.47662905599999994,0.06432000000000004,False,10.5,10.26944,9.846153846153847,0.0207199971656707,27,Chelsea,Burnley,EPL
Chelsea,Burnley,10.5,0.44806,0.55194,2.087396136804202,1.6640755678814296,0.479065752,0.6009342480000001,0.051939999999999986,True,10.5,10.26944,9.846153846153847,0.0207199971656707,27,Chelsea,Burnley,EPL
Chelsea,Burnley,11.5,0.34032,0.65968,2.7482331718867266,1.3963947901649838,0.363870144,0.716129856,0.15968,False,10.5,10.26944,9.846153846153847,0.0207199971656707,27,Chelsea,Burnley,EPL
Chelsea,Burnley,12.5,0.24602,0.75398,3.8016369118628197,1.2240570053335686,0.26304458399999997,0.8169554160000001,0.25398,False,10.5,10.26944,9.846153846153847,0.0207199971656707,27,Chelsea,Burnley,EPL
West Ham United,AFC Bournemouth,7.5,0.8133,0.18669999999999998,1.1499799742487284,4.752408092704655,0.86958036,0.21041964,0.3133,False,10.5,10.57794,9.846153846153847,0.0207199971656707,27,West Ham United,AFC Bournemouth,EPL
West Ham United,AFC Bournemouth,8.5,0.7142,0.28580000000000005,1.3095473439603624,3.1607824276680216,0.76362264,0.3163773600000001,0.21419999999999995,False,10.5,10.57794,9.846153846153847,0.0207199971656707,27,West Ham United,AFC Bournemouth,EPL
West Ham United,AFC Bournemouth,9.5,0.60362,0.39637999999999995,1.5494495097188474,2.3009161309259567,0.6453905040000001,0.434609496,0.10362000000000005,False,10.5,10.57794,9.846153846153847,0.0207199971656707,27,West Ham United,AFC Bournemouth,EPL
West Ham United,AFC Bournemouth,10.5,0.48468,0.51532,1.9296829104904079,1.7800557934991732,0.518219856,0.5617801440000001,0.01532,True,10.5,10.57794,9.846153846153847,0.0207199971656707,27,West Ham United,AFC Bournemouth,EPL
West Ham United,AFC Bournemouth,11.5,0.37238,0.6276200000000001,2.5116244509814996,1.4665954206344083,0.398148696,0.6818513040000002,0.12762,False,10.5,10.57794,9.846153846153847,0.0207199971656707,27,West Ham United,AFC Bournemouth,EPL
