team,matches_w,tempo,attack,defense,mu_home_vs_avg,mu_away_vs_avg,mu_total_vs_avg
Luton town,0.0,1.0,-0.007094469208161393,0.011910829614486144,5.078935794733326,4.512603773441567,9.591539568174893
Sheffield united,0.0,1.0,0.005003432860711609,0.007313857259821519,5.140753440541221,4.567528378321836,9.708281818863057
Brighton & hove albion,34.429100807964716,1.0,-0.002440211291687443,-0.056536191269246354,5.102629567556669,4.533655547468827,9.636285115025496
West ham united,34.46226318317346,1.0,-0.09800943272970938,0.15047053384749381,4.637552677493027,4.120437540023656,8.757990217516683
Tottenham,34.51561270262276,1.0,0.16148250878242187,0.09354702274165665,6.011526612828082,5.341205081844664,11.352731694672746
Arsenal,34.520050796577664,1.0,0.226425163262135,-0.4630694401635311,6.414886999624744,5.6995883489462,12.114475348570945
Sunderland,34.54128477110994,1.0,-0.24884984737047164,0.14674090531177594,3.988225408755456,3.543514184122576,7.531739592878032
Crystal palace,34.557635416342684,1.0,-0.16468441990626415,0.07994813685981526,4.338426825173333,3.8546660271584012,8.193092852331734
Manchester united,34.56619182350563,1.0,0.003363538638499083,-0.011626123364535283,5.132330057292737,4.560044253188443,9.692374310481181
Nottingham Forest,34.57414616211616,1.0,-0.04065281404820513,0.12067103139189199,4.911323245397145,4.363681035848598,9.275004281245742
Chelsea,34.582547909136295,1.0,0.1602856857884771,-0.19907777650916325,6.00433618324316,5.334816428593478,11.339152611836639
Everton,34.582547909136295,1.0,-0.12936020218377658,0.11757805340200475,4.494417258867463,3.9932625852087815,8.487679844076244
Burnley,34.60670911544279,1.0,-0.24872334950116765,0.24667532603489054,3.9887299426825282,3.543962459469056,7.532692402151584
Newcastle,34.614663454053314,1.0,0.220050585934365,0.09899079075667058,6.374124865117447,5.6633714386671,12.037496303784547
Liverpool,34.63543339669664,1.0,0.19385038804426274,-0.18685880797817206,6.209290310372412,5.5169169324874145,11.726207242859827
Wolverhampton wanderers,34.66110546518382,1.0,-0.3224109855343388,0.1539776958426473,3.7053778379161466,3.292205826020902,6.997583663937048
Aston villa,34.67745611041656,1.0,0.12196990071129009,-0.04200138088575491,5.778627052726285,5.134275229563782,10.912902282290066
Bournemouth,34.677456110416564,1.0,0.17434645128275583,-0.07264333954131204,6.089358081987126,5.410357872038193,11.49971595402532
Leeds United,34.69322101010084,1.0,-0.19116753085249785,-0.02810994717710039,4.225039833341,3.7539223698488593,7.97896220318986
Brentford,34.76396800507462,1.0,-0.022559591774679772,0.15803624001982086,5.0009936758166615,4.44335267160679,9.444346347423451
Fulham,34.76396800507462,1.0,0.021602399540827488,-0.028119969418836398,5.226796775247649,4.64397736144904,9.870774136696689
Manchester city,34.76396800507462,1.0,0.18757279955521394,-0.29781744677532346,6.170433033599142,5.48239247679838,11.652825510397523
