home,away,line,p_over,p_under,fair_odds_over,fair_odds_under,mu_match,mu_league,mu_home,mu_away,alpha_base,alpha_used,low_sample_flag,home_matches_w,away_matches_w,gameweek
Aston Villa,Nottingham Forest,7.5,0.77944,0.22055999999999998,1.282972390434158,4.533913674283642,10.632566734678615,8.88446900166354,6.950848504505458,3.6817182301731566,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Aston Villa,Nottingham Forest,8.5,0.68618,0.31382,1.45734355416946,3.1865400548084892,10.632566734678615,8.88446900166354,6.950848504505458,3.6817182301731566,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Aston Villa,Nottingham Forest,9.5,0.58556,0.41444000000000003,1.7077669239702167,2.412894508252099,10.632566734678615,8.88446900166354,6.950848504505458,3.6817182301731566,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Aston Villa,Nottingham Forest,10.5,0.48042,0.5195799999999999,2.0815120103242997,1.9246314330805654,10.632566734678615,8.88446900166354,6.950848504505458,3.6817182301731566,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Aston Villa,Nottingham Forest,11.5,0.38216,0.61784,2.616705045007327,1.6185420173507705,10.632566734678615,8.88446900166354,6.950848504505458,3.6817182301731566,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Aston Villa,Nottingham Forest,12.5,0.29618,0.70382,3.3763252076440002,1.4208178227387684,10.632566734678615,8.88446900166354,6.950848504505458,3.6817182301731566,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Brighton & Hove Albion,Burnley,7.5,0.71828,0.28171999999999997,1.3922147352007572,3.5496237398835726,10.008623062861801,8.88446900166354,6.478070520230867,3.5305525426309337,0.07825760017513976,0.10956064024519566,1,60.8,34.2,20
Brighton & Hove Albion,Burnley,8.5,0.61662,0.38338000000000005,1.6217443482209466,2.6083781104908965,10.008623062861801,8.88446900166354,6.478070520230867,3.5305525426309337,0.07825760017513976,0.10956064024519566,1,60.8,34.2,20
Brighton & Hove Albion,Burnley,9.5,0.5136,0.48640000000000005,1.9470404984423677,2.0559210526315788,10.008623062861801,8.88446900166354,6.478070520230867,3.5305525426309337,0.07825760017513976,0.10956064024519566,1,60.8,34.2,20
Brighton & Hove Albion,Burnley,10.5,0.41454,0.58546,2.4123124427075795,1.708058620571858,10.008623062861801,8.88446900166354,6.478070520230867,3.5305525426309337,0.07825760017513976,0.10956064024519566,1,60.8,34.2,20
Brighton & Hove Albion,Burnley,11.5,0.32464,0.67536,3.0803351404632826,1.480691779199242,10.008623062861801,8.88446900166354,6.478070520230867,3.5305525426309337,0.07825760017513976,0.10956064024519566,1,60.8,34.2,20
Brighton & Hove Albion,Burnley,12.5,0.24856,0.75144,4.023173479240425,1.330778239114234,10.008623062861801,8.88446900166354,6.478070520230867,3.5305525426309337,0.07825760017513976,0.10956064024519566,1,60.8,34.2,20
Wolverhampton Wanderers,West Ham United,7.5,0.66628,0.33372,1.500870504892838,2.9965240321227373,9.267121045097896,8.88446900166354,4.530820078569012,4.736300966528884,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Wolverhampton Wanderers,West Ham United,8.5,0.5523,0.4477,1.810610175629187,2.233638597274961,9.267121045097896,8.88446900166354,4.530820078569012,4.736300966528884,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Wolverhampton Wanderers,West Ham United,9.5,0.44092,0.55908,2.2679851220175995,1.7886527867210416,9.267121045097896,8.88446900166354,4.530820078569012,4.736300966528884,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Wolverhampton Wanderers,West Ham United,10.5,0.33672,0.66328,2.9698265621287714,1.507658907248824,9.267121045097896,8.88446900166354,4.530820078569012,4.736300966528884,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Wolverhampton Wanderers,West Ham United,11.5,0.24576,0.75424,4.069010416666667,1.325837929571489,9.267121045097896,8.88446900166354,4.530820078569012,4.736300966528884,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Wolverhampton Wanderers,West Ham United,12.5,0.17356,0.8264400000000001,5.7616962433740495,1.21000919606989,9.267121045097896,8.88446900166354,4.530820078569012,4.736300966528884,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Bournemouth,Arsenal,7.5,0.69076,0.30923999999999996,1.4476808153338352,3.233734316388566,9.51635346038222,8.88446900166354,3.8649369079837923,5.6514165523984285,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Bournemouth,Arsenal,8.5,0.57808,0.42191999999999996,1.729864378632715,2.3701175578308686,9.51635346038222,8.88446900166354,3.8649369079837923,5.6514165523984285,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Bournemouth,Arsenal,9.5,0.46804,0.53196,2.13656952397231,1.8798405895180088,9.51635346038222,8.88446900166354,3.8649369079837923,5.6514165523984285,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Bournemouth,Arsenal,10.5,0.36474,0.6352599999999999,2.7416790042221857,1.5741586122217677,9.51635346038222,8.88446900166354,3.8649369079837923,5.6514165523984285,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Bournemouth,Arsenal,11.5,0.27448,0.7255199999999999,3.643252696006995,1.3783217554305878,9.51635346038222,8.88446900166354,3.8649369079837923,5.6514165523984285,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Bournemouth,Arsenal,12.5,0.19744,0.8025599999999999,5.06482982171799,1.246012759170654,9.51635346038222,8.88446900166354,3.8649369079837923,5.6514165523984285,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Leeds,Manchester United,7.5,0.5886,0.4114,1.6989466530750934,2.430724355858046,8.619819954158352,8.88446900166354,5.295446574730889,3.324373379427463,0.07825760017513976,0.10956064024519566,1,19.0,60.8,20
Leeds,Manchester United,8.5,0.47316,0.52684,2.1134499957731,1.898109482954977,8.619819954158352,8.88446900166354,5.295446574730889,3.324373379427463,0.07825760017513976,0.10956064024519566,1,19.0,60.8,20
Leeds,Manchester United,9.5,0.36882,0.6311800000000001,2.711349709885581,1.5843341043759307,8.619819954158352,8.88446900166354,5.295446574730889,3.324373379427463,0.07825760017513976,0.10956064024519566,1,19.0,60.8,20
Leeds,Manchester United,10.5,0.27618,0.72382,3.620826996886089,1.3815589511204442,8.619819954158352,8.88446900166354,5.295446574730889,3.324373379427463,0.07825760017513976,0.10956064024519566,1,19.0,60.8,20
Leeds,Manchester United,11.5,0.20018,0.79982,4.995504046358278,1.2502813132954915,8.619819954158352,8.88446900166354,5.295446574730889,3.324373379427463,0.07825760017513976,0.10956064024519566,1,19.0,60.8,20
Leeds,Manchester United,12.5,0.1396,0.8604,7.163323782234957,1.1622501162250116,8.619819954158352,8.88446900166354,5.295446574730889,3.324373379427463,0.07825760017513976,0.10956064024519566,1,19.0,60.8,20
Everton,Brentford,7.5,0.75634,0.24366,1.3221567020123224,4.104079454978248,10.272780950051876,8.88446900166354,5.304541032326468,4.968239917725408,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Everton,Brentford,8.5,0.65486,0.34514,1.5270439483248328,2.8973749782696876,10.272780950051876,8.88446900166354,5.304541032326468,4.968239917725408,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Everton,Brentford,9.5,0.55062,0.44938,1.8161345392466675,2.225288174818639,10.272780950051876,8.88446900166354,5.304541032326468,4.968239917725408,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
Everton,Brentford,10.5,0.44428,0.55572,2.250832808139011,1.799467357662132,10.272780950051876,8.88446900166354,5.304541032326468,4.968239917725408,0.07825760017513976,0.07825760017513976,0,60.8,60.8,20
