home,away,market,line,p_over,p_under,fair_odds_over,fair_odds_under,bookmaker_odds_over,bookmaker_odds_under,margin,overround,mu_match,mu_league,mu_home,mu_away,alpha_base,alpha_used,low_sample_flag,home_matches_w,away_matches_w,promoted_home_flag,promoted_away_flag,promoted_pair_flag,p_home,p_draw,p_away,fair_odds_home,fair_odds_draw,fair_odds_away,bookmaker_odds_home,bookmaker_odds_draw,bookmaker_odds_away,mu_home_goals,mu_away_goals,mu_total_goals,gameweek,home_team,away_team
Newcastle,Chelsea,corners_total,7.5,0.77948,0.22052000000000005,1.2829065530866732,4.534736078360239,1.1878764380432159,4.198829702185406,0.08,0.08000000000000007,10.565678738025152,8.805466846712918,5.069126414871304,5.496552323153847,0.07706488421479199,0.07706488421479199,0,57.8,57.8,0.0,0.0,0.0,,,,,,,,,,,,,17,Newcastle,Chelsea
Newcastle,Chelsea,corners_total,8.5,0.683545,0.31645500000000004,1.462961472909611,3.160006952015294,1.3545939563977878,2.925932362977124,0.08,0.08000000000000007,10.565678738025152,8.805466846712918,5.069126414871304,5.496552323153847,0.07706488421479199,0.07706488421479199,0,57.8,57.8,0.0,0.0,0.0,,,,,,,,,,,,,17,Newcastle,Chelsea
Newcastle,Chelsea,corners_total,9.5,0.580215,0.41978499999999996,1.723499047766776,2.3821718260538134,1.5958324516359035,2.205714653753531,0.08,0.08000000000000007,10.565678738025152,8.805466846712918,5.069126414871304,5.496552323153847,0.07706488421479199,0.07706488421479199,0,57.8,57.8,0.0,0.0,0.0,,,,,,,,,,,,,17,Newcastle,Chelsea
Newcastle,Chelsea,corners_total,10.5,0.47514,0.52486,2.104642842109694,1.9052699767557064,1.9487433723237906,1.7641388673663945,0.08,0.08000000000000007,10.565678738025152,8.805466846712918,5.069126414871304,5.496552323153847,0.07706488421479199,0.07706488421479199,0,57.8,57.8,0.0,0.0,0.0,,,,,,,,,,,,,17,Newcastle,Chelsea
Newcastle,Chelsea,corners_total,11.5,0.375615,0.624385,2.662300493856742,1.6015759507355238,2.4650930498673533,1.4829406951254849,0.08,0.08000000000000007,10.565678738025152,8.805466846712918,5.069126414871304,5.496552323153847,0.07706488421479199,0.07706488421479199,0,57.8,57.8,0.0,0.0,0.0,,,,,,,,,,,,,17,Newcastle,Chelsea
Newcastle,Chelsea,corners_total,12.5,0.287355,0.712645,3.480016008073637,1.4032232036988965,3.2222370445126267,1.2992807441656447,0.08,0.08000000000000007,10.565678738025152,8.805466846712918,5.069126414871304,5.496552323153847,0.07706488421479199,0.07706488421479199,0,57.8,57.8,0.0,0.0,0.0,,,,,,,,,,,,,17,Newcastle,Chelsea
Newcastle,Chelsea,1X2,,,,,,,,0.08,-0.07407407407407418,,,,,,,0,57.8,57.8,,,,0.386065,0.123705,0.49023,2.5902373952572755,8.083747625399136,2.0398588417681496,2.7974563868778577,8.730447435431067,2.2030475491096015,5.069126414871304,5.496552323153848,10.565678738025152,17,Newcastle,Chelsea
Wolverhampton Wanderers,Brentford,corners_total,7.5,0.701925,0.298075,1.4246536310859421,3.3548603539377675,1.3191237324869833,3.106352179572007,0.08,0.08000000000000007,9.606423972790017,8.805466846712918,4.460033809717605,5.146390163072412,0.07706488421479199,0.07706488421479199,0,57.8,57.8,0.0,0.0,0.0,,,,,,,,,,,,,17,Wolverhampton Wanderers,Brentford
Wolverhampton Wanderers,Brentford,corners_total,8.5,0.591695,0.40830500000000003,1.6900599126239026,2.4491495328247264,1.5648702894665765,2.2677310489117835,0.08,0.08000000000000007,9.606423972790017,8.805466846712918,4.460033809717605,5.146390163072412,0.07706488421479199,0.07706488421479199,0,57.8,57.8,0.0,0.0,0.0,,,,,,,,,,,,,17,Wolverhampton Wanderers,Brentford
Wolverhampton Wanderers,Brentford,corners_total,9.5,0.47944,0.52056,2.0857667278491574,1.921008145074535,1.9312654887492198,1.778711245439384,0.08,0.08000000000000007,9.606423972790017,8.805466846712918,4.460033809717605,5.146390163072412,0.07706488421479199,0.07706488421479199,0,57.8,57.8,0.0,0.0,0.0,,,,,,,,,,,,,17,Wolverhampton Wanderers,Brentford
Wolverhampton Wanderers,Brentford,corners_total,10.5,0.373995,0.6260049999999999,2.673832537868153,1.5974313304206837,2.4757708683964377,1.4791030837228551,0.08,0.08000000000000007,9.606423972790017,8.805466846712918,4.460033809717605,5.146390163072412,0.07706488421479199,0.07706488421479199,0,57.8,57.8,0.0,0.0,0.0,,,,,,,,,,,,,17,Wolverhampton Wanderers,Brentford
Wolverhampton Wanderers,Brentford,corners_total,11.5,0.28081,0.71919,3.5611267405006943,1.390453148681155,3.29733957453768,1.2874566191492178,0.08,0.08000000000000007,9.606423972790017,8.805466846712918,4.460033809717605,5.146390163072412,0.07706488421479199,0.07706488421479199,0,57.8,57.8,0.0,0.0,0.0,,,,,,,,,,,,,17,Wolverhampton Wanderers,Brentford
Wolverhampton Wanderers,Brentford,corners_total,12.5,0.20408,0.79592,4.900039200313603,1.256407679163735,4.537073333623705,1.163340443670125,0.08,0.08000000000000007,9.606423972790017,8.805466846712918,4.460033809717605,5.146390163072412,0.07706488421479199,0.07706488421479199,0,57.8,57.8,0.0,0.0,0.0,,,,,,,,,,,,,17,Wolverhampton Wanderers,Brentford
Wolverhampton Wanderers,Brentford,1X2,,,,,,,,0.08,-0.07407407407407407,,,,,,,0,57.8,57.8,,,,0.34918,0.12712,0.5237,2.8638524543215533,7.8665827564505975,1.9094901661256443,3.092960650667278,8.495909376966646,2.0622493794156957,4.460033809717605,5.146390163072412,9.606423972790017,17,Wolverhampton Wanderers,Brentford
Bournemouth,Burnley,corners_total,7.5,0.81765,0.18235,1.2230171833914267,5.483959418700302,1.1324233179550247,5.077740202500278,0.08,0.08000000000000007,11.496655094241984,8.805466846712918,7.583376806953294,3.9132782872886898,0.07706488421479199,0.10789083790070877,1,57.8,31.200000000000003,0.0,1.0,0.0,,,,,,,,,,,,,17,Bournemouth,Burnley
