home,away,market,line,p_over,p_under,fair_odds_over,fair_odds_under,bookmaker_odds_over,bookmaker_odds_under,margin,overround,mu_match,mu_league,mu_home,mu_away,alpha_base,alpha_used,low_sample_flag,home_matches_w,away_matches_w,promoted_home_flag,promoted_away_flag,promoted_pair_flag,p_home,p_draw,p_away,fair_odds_home,fair_odds_draw,fair_odds_away,bookmaker_odds_home,bookmaker_odds_draw,bookmaker_odds_away,mu_home_goals,mu_away_goals,mu_total_goals,gameweek,home_team,away_team
West Ham United,Nottingham Forest,corners_total,7.5,0.756895,0.24310500000000002,1.321187218834845,4.11344892124802,1.2233214989211527,3.8087490011555736,0.08,0.08000000000000007,10.256743400620623,8.904979785535943,5.508857915065496,4.747885485555127,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,West Ham United,Nottingham Forest
West Ham United,Nottingham Forest,corners_total,8.5,0.655125,0.34487500000000004,1.526426254531578,2.8996013048205866,1.4133576430847943,2.684816022982025,0.08,0.08000000000000007,10.256743400620623,8.904979785535943,5.508857915065496,4.747885485555127,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,West Ham United,Nottingham Forest
West Ham United,Nottingham Forest,corners_total,9.5,0.547965,0.45203499999999996,1.8249340742565674,2.2122180804583715,1.6897537724597846,2.048350074498492,0.08,0.08000000000000007,10.256743400620623,8.904979785535943,5.508857915065496,4.747885485555127,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,West Ham United,Nottingham Forest
West Ham United,Nottingham Forest,corners_total,10.5,0.441755,0.558245,2.2636982037554754,1.791328180279268,2.0960168553291436,1.6586372039622852,0.08,0.08000000000000007,10.256743400620623,8.904979785535943,5.508857915065496,4.747885485555127,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,West Ham United,Nottingham Forest
West Ham United,Nottingham Forest,corners_total,11.5,0.343805,0.656195,2.908625529006268,1.5239372442642813,2.693171786116914,1.4110530039484084,0.08,0.08000000000000007,10.256743400620623,8.904979785535943,5.508857915065496,4.747885485555127,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,West Ham United,Nottingham Forest
West Ham United,Nottingham Forest,corners_total,12.5,0.258145,0.7418549999999999,3.8737918611632995,1.3479723126486982,3.5868443158919443,1.2481225117117576,0.08,0.08000000000000007,10.256743400620623,8.904979785535943,5.508857915065496,4.747885485555127,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,West Ham United,Nottingham Forest
West Ham United,Nottingham Forest,1X2,,,,,,,,0.08,-0.07407407407407418,,,,,,,0,61.800000000000004,61.800000000000004,,,,0.531765,0.12368,0.344555,1.8805299333352137,8.085381630012936,2.902294263615388,2.030972328002031,8.732212160413972,3.1344778047046193,5.508857915065495,4.747885485555128,10.256743400620623,21,West Ham United,Nottingham Forest
Crystal Palace,Aston Villa,corners_total,7.5,0.6986,0.3014,1.43143429716576,3.3178500331785004,1.3254021270053333,3.072083364054167,0.08,0.08000000000000007,9.570186230181093,8.904979785535943,4.1758616525289085,5.394324577652184,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Crystal Palace,Aston Villa
Crystal Palace,Aston Villa,corners_total,8.5,0.5885,0.4115,1.699235344095157,2.4301336573511545,1.5733660593473677,2.2501237568066244,0.08,0.08000000000000007,9.570186230181093,8.904979785535943,4.1758616525289085,5.394324577652184,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Crystal Palace,Aston Villa
Crystal Palace,Aston Villa,corners_total,9.5,0.4769,0.5231,2.0968756552736423,1.9116803670426303,1.9415515326607797,1.7700744139283615,0.08,0.08000000000000007,9.570186230181093,8.904979785535943,4.1758616525289085,5.394324577652184,0.07563180325364648,0.07563180325364648,0,61.800000000000004,61.800000000000004,0.0,0.0,0.0,,,,,,,,,,,,,21,Crystal Palace,Aston Villa
