home,away,market,line,p_over,p_under,fair_odds_over,fair_odds_under,bookmaker_odds_over,bookmaker_odds_under,implied_p_over,implied_p_under,over_price_boost,margin,overround,mu_match,mu_league,mu_home,mu_away,alpha_base,alpha_used,low_sample_flag,home_matches_w,away_matches_w,promoted_home_flag,promoted_away_flag,promoted_pair_flag,p_home,p_draw,p_away,fair_odds_home,fair_odds_draw,fair_odds_away,bookmaker_odds_home,bookmaker_odds_draw,bookmaker_odds_away,mu_home_goals,mu_away_goals,mu_total_goals,calib_temp,calib_rows,gameweek,home_team,away_team
Leeds United,Nottingham Forest,corners_total,7.5,0.727515,0.272485,1.3745421056610516,3.6699267849606403,1.272724171908381,3.3980803564450373,0.7857162000000001,0.2942838,0.0,0.08,0.08000000000000007,10.002142483109722,9.062189935034358,6.157230611324513,3.844911871785209,0.06350209107057349,0.08890292749880288,1.0,17.563543854460306,27.21031211898707,1.0,0.0,0.0,,,,,,,,,,,,,,,25,Leeds United,Nottingham Forest
Leeds United,Nottingham Forest,corners_total,8.5,0.625105,0.374895,1.5997312451508146,2.667413542458555,1.4812326343989022,2.469827354128292,0.6751134000000001,0.4048866,0.0,0.08,0.08000000000000007,10.002142483109722,9.062189935034358,6.157230611324513,3.844911871785209,0.06350209107057349,0.08890292749880288,1.0,17.563543854460306,27.21031211898707,1.0,0.0,0.0,,,,,,,,,,,,,,,25,Leeds United,Nottingham Forest
Leeds United,Nottingham Forest,corners_total,9.5,0.51914,0.48085999999999995,1.9262626651770234,2.07960737012852,1.7835765418305773,1.9255623797486292,0.5606712,0.5193288,0.0,0.08,0.08000000000000007,10.002142483109722,9.062189935034358,6.157230611324513,3.844911871785209,0.06350209107057349,0.08890292749880288,1.0,17.563543854460306,27.21031211898707,1.0,0.0,0.0,,,,,,,,,,,,,,,25,Leeds United,Nottingham Forest
Leeds United,Nottingham Forest,corners_total,10.5,0.416585,0.583415,2.4004704922164746,1.714045747881011,2.222657863163402,1.587079396186121,0.44991180000000003,0.6300882000000001,0.0,0.08,0.08000000000000007,10.002142483109722,9.062189935034358,6.157230611324513,3.844911871785209,0.06350209107057349,0.08890292749880288,1.0,17.563543854460306,27.21031211898707,1.0,0.0,0.0,,,,,,,,,,,,,,,25,Leeds United,Nottingham Forest
Leeds United,Nottingham Forest,corners_total,11.5,0.322805,0.677195,3.097845448490575,1.4766795383899762,2.8683754152690506,1.3672958688796075,0.34862940000000003,0.7313706000000001,0.0,0.08,0.08000000000000007,10.002142483109722,9.062189935034358,6.157230611324513,3.844911871785209,0.06350209107057349,0.08890292749880288,1.0,17.563543854460306,27.21031211898707,1.0,0.0,0.0,,,,,,,,,,,,,,,25,Leeds United,Nottingham Forest
Leeds United,Nottingham Forest,corners_total,12.5,0.24161,0.75839,4.13890153553247,1.3185827872202955,3.832316236604138,1.2209099881669403,0.2609388,0.8190612,0.0,0.08,0.08000000000000007,10.002142483109722,9.062189935034358,6.157230611324513,3.844911871785209,0.06350209107057349,0.08890292749880288,1.0,17.563543854460306,27.21031211898707,1.0,0.0,0.0,,,,,,,,,,,,,,,25,Leeds United,Nottingham Forest
Leeds United,Nottingham Forest,1X2,,,,,,,,,,,0.08,-0.07407407407407418,,,,,,,,17.563543854460306,27.21031211898707,,,,0.3345489362359687,0.30421682425319874,0.3612342395108325,2.9890993265471515,3.2871291798368882,2.7682868638204283,3.228227272670924,3.55009951422384,2.989749812926063,1.4843475038725826,1.3018099521631046,2.786157456035687,2.9,1000.0,25,Leeds United,Nottingham Forest
Manchester United,Tottenham,corners_total,7.5,0.75472,0.24528000000000005,1.3249947000212,4.076973255055446,1.226846944464074,3.7749752361624496,0.8150976,0.2649024000000001,0.0,0.08,0.08000000000000007,10.294743510961133,9.062189935034358,5.057546996353567,5.237196514607566,0.06350209107057349,0.08890292749880288,1.0,27.205609821828592,27.174670823231203,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Manchester United,Tottenham
Manchester United,Tottenham,corners_total,8.5,0.655825,0.344175,1.5247970113978577,2.9054986562068716,1.411849084627646,2.690276533524881,0.708291,0.371709,0.0,0.08,0.08000000000000007,10.294743510961133,9.062189935034358,5.057546996353567,5.237196514607566,0.06350209107057349,0.08890292749880288,1.0,27.205609821828592,27.174670823231203,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Manchester United,Tottenham
Manchester United,Tottenham,corners_total,9.5,0.550075,0.449925,1.817933918102077,2.2225926543312773,1.683272146390812,2.057956161417849,0.594081,0.48591900000000005,0.0,0.08,0.08000000000000007,10.294743510961133,9.062189935034358,5.057546996353567,5.237196514607566,0.06350209107057349,0.08890292749880288,1.0,27.205609821828592,27.174670823231203,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Manchester United,Tottenham
