home,away,market,line,p_over,p_under,fair_odds_over,fair_odds_under,bookmaker_odds_over,bookmaker_odds_under,margin,overround,mu_match,mu_league,mu_home,mu_away,alpha_base,alpha_used,low_sample_flag,home_matches_w,away_matches_w,promoted_home_flag,promoted_away_flag,promoted_pair_flag,p_home,p_draw,p_away,fair_odds_home,fair_odds_draw,fair_odds_away,bookmaker_odds_home,bookmaker_odds_draw,bookmaker_odds_away,mu_home_goals,mu_away_goals,mu_total_goals,gameweek,home_team,away_team
Brighton & Hove Albion,Everton,corners_total,7.5,0.690365,0.309635,1.4485091219861956,3.2296090558237927,1.341212149987218,2.9903787553924004,0.08,0.08000000000000007,9.60085807248135,8.923336834932435,5.909620037969363,3.6912380345119864,0.06917614741173815,0.0968466063764334,1,45.8,45.8,0.0,0.0,0.0,,,,,,,,,,,,,24,Brighton & Hove Albion,Everton
Brighton & Hove Albion,Everton,corners_total,8.5,0.58307,0.41693,1.71505994134495,2.398484158012136,1.5880184642082869,2.220818664826052,0.08,0.08000000000000007,9.60085807248135,8.923336834932435,5.909620037969363,3.6912380345119864,0.06917614741173815,0.0968466063764334,1,45.8,45.8,0.0,0.0,0.0,,,,,,,,,,,,,24,Brighton & Hove Albion,Everton
Brighton & Hove Albion,Everton,corners_total,9.5,0.475405,0.5245949999999999,2.103469673225986,1.9062324269198145,1.947657104838876,1.7650300249257542,0.08,0.08000000000000007,9.60085807248135,8.923336834932435,5.909620037969363,3.6912380345119864,0.06917614741173815,0.0968466063764334,1,45.8,45.8,0.0,0.0,0.0,,,,,,,,,,,,,24,Brighton & Hove Albion,Everton
Brighton & Hove Albion,Everton,corners_total,10.5,0.37487,0.62513,2.6675914316963216,1.5996672692080047,2.469992066385483,1.4811733974148193,0.08,0.08000000000000007,9.60085807248135,8.923336834932435,5.909620037969363,3.6912380345119864,0.06917614741173815,0.0968466063764334,1,45.8,45.8,0.0,0.0,0.0,,,,,,,,,,,,,24,Brighton & Hove Albion,Everton
Brighton & Hove Albion,Everton,corners_total,11.5,0.285065,0.714935,3.507971866065634,1.3987285557428297,3.24812209820892,1.2951190330952127,0.08,0.08000000000000007,9.60085807248135,8.923336834932435,5.909620037969363,3.6912380345119864,0.06917614741173815,0.0968466063764334,1,45.8,45.8,0.0,0.0,0.0,,,,,,,,,,,,,24,Brighton & Hove Albion,Everton
Brighton & Hove Albion,Everton,corners_total,12.5,0.20929,0.79071,4.778059152372307,1.264686168127379,4.4241288447891725,1.1710057112290546,0.08,0.08000000000000007,9.60085807248135,8.923336834932435,5.909620037969363,3.6912380345119864,0.06917614741173815,0.0968466063764334,1,45.8,45.8,0.0,0.0,0.0,,,,,,,,,,,,,24,Brighton & Hove Albion,Everton
Brighton & Hove Albion,Everton,1X2,,,,,,,,0.08,-0.07407407407407418,,,,,,,1,45.8,45.8,,,,0.711845,0.101055,0.1871,1.4048002022912291,9.895601405175398,5.344735435595938,1.5171842184745277,10.687249517589432,5.772314270443614,5.909620037969363,3.6912380345119864,9.60085807248135,24,Brighton & Hove Albion,Everton
Leeds United,Arsenal,corners_total,7.5,0.479345,0.520655,2.086180099928027,1.9206576331735987,1.9316482406740987,1.7783866973829616,0.08,0.08000000000000007,7.6278585000935895,8.923336834932435,3.43484667912593,4.1930118209676595,0.06917614741173815,0.0968466063764334,1,23.0,45.8,1.0,0.0,0.0,,,,,,,,,,,,,24,Leeds United,Arsenal
Leeds United,Arsenal,corners_total,8.5,0.3629,0.6371,2.755580049600441,1.5696123057604772,2.551463008889297,1.4533447275559974,0.08,0.08000000000000007,7.6278585000935895,8.923336834932435,3.43484667912593,4.1930118209676595,0.06917614741173815,0.0968466063764334,1,23.0,45.8,1.0,0.0,0.0,,,,,,,,,,,,,24,Leeds United,Arsenal
Leeds United,Arsenal,corners_total,9.5,0.263345,0.7366550000000001,3.797300119614954,1.357487562020213,3.516018629273105,1.2569329277964933,0.08,0.08000000000000007,7.6278585000935895,8.923336834932435,3.43484667912593,4.1930118209676595,0.06917614741173815,0.0968466063764334,1,23.0,45.8,1.0,0.0,0.0,,,,,,,,,,,,,24,Leeds United,Arsenal
Leeds United,Arsenal,corners_total,10.5,0.182685,0.817315,5.473903166652982,1.223518472070132,5.0684288580120205,1.1328874741390111,0.08,0.08000000000000007,7.6278585000935895,8.923336834932435,3.43484667912593,4.1930118209676595,0.06917614741173815,0.0968466063764334,1,23.0,45.8,1.0,0.0,0.0,,,,,,,,,,,,,24,Leeds United,Arsenal
Leeds United,Arsenal,corners_total,11.5,0.12074,0.87926,8.282259400364419,1.1373200191069763,7.668758704041128,1.0530740917657186,0.08,0.08000000000000007,7.6278585000935895,8.923336834932435,3.43484667912593,4.1930118209676595,0.06917614741173815,0.0968466063764334,1,23.0,45.8,1.0,0.0,0.0,,,,,,,,,,,,,24,Leeds United,Arsenal
Leeds United,Arsenal,corners_total,12.5,0.07688,0.9231199999999999,13.007284079084286,1.083282780136927,12.043781554707673,1.0030396112378952,0.08,0.08000000000000007,7.6278585000935895,8.923336834932435,3.43484667912593,4.1930118209676595,0.06917614741173815,0.0968466063764334,1,23.0,45.8,1.0,0.0,0.0,,,,,,,,,,,,,24,Leeds United,Arsenal
Leeds United,Arsenal,1X2,,,,,,,,0.08,-0.07407407407407418,,,,,,,1,23.0,45.8,,,,0.245775,0.13443,0.619795,4.068762079137422,7.438815740534107,1.6134367008446342,4.394263045468417,8.033920999776836,1.742511636912205,2.997399204249538,4.341175020057501,7.338574224307039,24,Leeds United,Arsenal
Wolverhampton Wanderers,Bournemouth,corners_total,7.5,0.75026,0.24973999999999996,1.3328712712926185,4.004164330904141,1.2341400660116837,3.707559565651982,0.08,0.08000000000000007,10.329127544414145,8.923336834932435,3.9473263348610628,6.381801209553083,0.06917614741173815,0.0968466063764334,1,45.8,45.8,0.0,0.0,0.0,,,,,,,,,,,,,24,Wolverhampton Wanderers,Bournemouth
