home,away,line,p_over,p_under,fair_odds_over,fair_odds_under,mu_match,mu_league,mu_home,mu_away,alpha_base,alpha_used,low_sample_flag,home_matches_w,away_matches_w,gameweek
Nottingham Forest,Everton,7.5,0.73828,0.26171999999999995,1.3544996478300915,3.8208772734219782,10.053374755161869,8.917420722300552,5.4508638413818105,4.602510913780059,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Nottingham Forest,Everton,8.5,0.63444,0.36556,1.5761931782359246,2.735529051318525,10.053374755161869,8.917420722300552,5.4508638413818105,4.602510913780059,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Nottingham Forest,Everton,9.5,0.52418,0.47582,1.9077416154756,2.101635072086083,10.053374755161869,8.917420722300552,5.4508638413818105,4.602510913780059,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Nottingham Forest,Everton,10.5,0.41916,0.58084,2.3857238286096,1.7216445148405757,10.053374755161869,8.917420722300552,5.4508638413818105,4.602510913780059,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Nottingham Forest,Everton,11.5,0.32228,0.67772,3.1028918952463695,1.475535619429853,10.053374755161869,8.917420722300552,5.4508638413818105,4.602510913780059,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
Nottingham Forest,Everton,12.5,0.23924,0.76076,4.179903026249791,1.314474998685525,10.053374755161869,8.917420722300552,5.4508638413818105,4.602510913780059,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
West Ham United,Brighton & Hove Albion,7.5,0.69834,0.30166000000000004,1.431967236589627,3.3149903865278785,9.60836559892284,8.917420722300552,4.389968781696383,5.2183968172264565,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
West Ham United,Brighton & Hove Albion,8.5,0.58946,0.41054,1.6964679537203542,2.435816242022702,9.60836559892284,8.917420722300552,4.389968781696383,5.2183968172264565,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
West Ham United,Brighton & Hove Albion,9.5,0.47682,0.52318,2.0972274652908856,1.9113880500019114,9.60836559892284,8.917420722300552,4.389968781696383,5.2183968172264565,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
West Ham United,Brighton & Hove Albion,10.5,0.3725,0.6275,2.684563758389262,1.5936254980079683,9.60836559892284,8.917420722300552,4.389968781696383,5.2183968172264565,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
West Ham United,Brighton & Hove Albion,11.5,0.28098,0.71902,3.5589721688376397,1.390781897582821,9.60836559892284,8.917420722300552,4.389968781696383,5.2183968172264565,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
West Ham United,Brighton & Hove Albion,12.5,0.20486,0.79514,4.881382407497804,1.2576401639962775,9.60836559892284,8.917420722300552,4.389968781696383,5.2183968172264565,0.07842234653324034,0.07842234653324034,0,59.8,59.8,19
