team,attack,defense,matches_w,tempo,emp_against_factor,mu_total_vs_avg
Angers Sco,-0.22103676083888493,0.038279481048579554,56.0,1.0,0.9997460915955512,7.171991849213377
Auxerre,-0.06046200687196991,0.14558136712447795,55.0,1.0,0.9976441884568397,9.37512644574581
Brest,-0.08213372764297626,0.06581010117636729,54.0,1.0,1.0157338142849588,8.470733228210833
Le Havre,-0.10119328250526478,0.07591226582039672,53.0,1.0,1.021584670174329,8.395196376834381
Lens,0.1452289168425503,-0.15763980534664218,53.0,1.0,0.9965480109616065,8.503941913758117
Lille,0.17227559067587708,-0.1391117691204271,54.0,1.0,1.0087413513276529,8.90047388311719
Lorient,-0.15012501949731896,0.1271749740944086,55.0,1.0,0.9931119641467998,8.414788163570421
Metz,-0.17940507363993366,0.16224749145950285,55.0,1.0,0.99506528264527,8.463671956638043
Monaco,0.09307517563335749,-0.1917791483791191,56.0,1.0,0.9989012805666275,7.800881392214263
Nantes,-0.1940048198546967,0.2615878673610445,56.0,1.0,1.0005047173723527,9.2121544368555
Nice,0.08656712636160038,0.16206452325506118,56.0,1.0,1.0019239073005881,11.040522290763567
Olympique Lyonnais,0.16081652455361026,0.025013020653790484,55.0,1.0,0.9932721405379169,10.368478024100272
Olympique Marseille,0.08651833152140663,-0.31280157394202607,55.0,1.0,0.993713549690475,6.866520198872257
Paris,-0.11593424067429914,0.16093127457973339,54.0,1.0,0.9981897148302449,9.006420689859434
Psg,0.2919133323113284,-0.35959508502762794,54.0,1.0,0.9947463930014137,8.046674868973362
Rennes,0.09474196067027649,-0.0562013553613191,53.0,1.0,0.981645229638337,8.948458692860608
Strasbourg,-0.13253946336858605,-0.019414934097315574,55.0,1.0,0.993541707601298,7.396347531919119
Toulouse,0.013357327668983858,-0.07971182226982175,55.0,1.0,1.0003416736318578,8.057361974200381
