metric,value
beta0,1.4256810883236115
home_adv,0.23601396558614876
alpha,0.03
alpha_squeeze_used,0.74
mu_league,9.65863453815261
emp_total_corners_mean,9.573248407643312
USE_EMP_BIAS_CORRECTION,1.0
EMP_BIAS_K,30.0
EMP_BIAS_MAX_FACTOR,1.25
USE_HYBRID_INTERACTION,1.0
HYBRID_W,0.62
MISMATCH_INFLATE_ENABLED,1.0
SOFT_ANCHOR_W_BASE,0.07
SOFT_ANCHOR_W_UPWARD,0.14
CHAOS_MAX,0.02
