team,attack,defense,matches_w,tempo,emp_against_factor,against_emp_away,against_emp_home,for_emp_away,for_emp_home,mu_against_pred_away,mu_against_pred_home,mu_for_pred_away,mu_for_pred_home,mu_for_avg,mu_against_avg,total_emp_mean,total_emp_var,n_obs,mu_total_team_avg,mu_total_vs_avg
Juventus,0.09873144372459981,-0.09552748348533545,62.0,1.0,1.0219033718045822,4.612903225806452,3.5161290322580645,4.258064516129032,5.806451612903226,4.4646500450124424,3.684141610609993,4.512468686581998,5.554548995809326,5.033508841195663,4.074395827811218,9.096774193548388,10.974087784241144,62,9.107904669006881,8.01821245201309
Lazio,0.08681697356579711,-0.06204048372615595,61.0,1.0,0.9917482225907933,4.766666666666667,3.6451612903225805,4.2,5.806451612903226,4.746925502244878,3.6768365212525653,4.458374431106829,5.565123026384179,5.020820438542859,4.2031097905930475,9.21311475409836,13.203825136612021,61,9.223930229135906,8.193064800279638
Lecce,-0.004769910895262244,0.23558275294978895,62.0,1.0,1.0015018951099826,6.741935483870968,4.806451612903226,3.903225806451613,5.032258064516129,6.4138601064763785,5.108717207160835,4.000862976343884,4.935900302465621,4.468381639404752,5.761288656818606,10.241935483870968,12.383130618720257,62,10.229670296223357,10.067620597540145
Napoli,0.14948496333339262,-0.2784500633636916,63.0,1.0,1.0040699057176337,3.90625,2.935483870967742,4.21875,6.387096774193548,3.853677076559433,3.0023869477280396,4.660773849631556,5.9256138397124225,5.2831554320523,3.434788283007477,8.714285714285714,12.336405529953916,63,8.717943715059778,7.025500445550942
Parma,-0.07802722121358106,0.15149074281499564,60.0,1.0,1.0041746026625111,5.645161290322581,4.9655172413793105,4.258064516129032,4.0,5.839208672699613,4.792740130695188,3.7573853835129323,4.544479821653034,4.137814361947315,5.333415544064141,9.45,12.556779661016948,60,9.471229906011455,8.60183086701866
Pisa,-0.1412301983416607,0.18724713518617375,61.0,1.0,0.9972178118199693,5.935483870967742,5.1,3.6451612903225805,4.1,6.208099673455073,4.861579602215667,3.446664758147246,4.330092343860144,3.881137341284737,5.545876687599628,9.39344262295082,11.909289617486337,61,9.427014028884365,8.368950491715392
Roma,0.03403108893276855,-0.21311612118400416,62.0,1.0,0.9940605466751445,4.193548387096774,3.096774193548387,4.580645161290323,4.967741935483871,4.0884332121727445,3.2078576996691885,4.226044032511872,5.3422643182582945,4.784154175385083,3.6481454559209667,8.419354838709678,9.132734003172922,62,8.43229963130605,6.682061303139982
Sassuolo,-0.06966636727967196,0.07193117002831619,63.0,1.0,1.0070610067219823,5.096774193548387,4.65625,4.225806451612903,4.21875,5.493321495674931,4.289332304050684,3.713962015670985,4.742485467486345,4.236386626116882,4.881771430088012,9.095238095238095,7.861751152073733,63,9.118158056204894,8.010685622719686
Torino,-0.10507702212909302,0.03793255408003522,63.0,1.0,0.9997074749563916,5.5,3.967741935483871,3.78125,4.290322580645161,5.28629914049167,4.186699482699301,3.574023882645594,4.528064275968855,4.0434723301538655,4.745226293006535,8.777777777777779,13.756272401433689,63,8.7886986231604,7.473527294922535
Udinese,0.022040945656693907,0.1303090905362684,63.0,1.0,0.9933785574976005,5.548387096774194,4.75,4.548387096774194,4.65625,5.696480368679686,4.62003626630122,4.08711271404836,5.136880793548729,4.620328246492992,5.149715110328719,9.746031746031745,12.86994367639529,63,9.770043356821711,9.307882173255093
