home,away,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,imp_over,imp_under,mu_h0,mu_a0,mu_total_raw,split0,hybrid_used,mu_total_after_hybrid,emp_used,emp_fac_home,emp_fac_away,mu_total_after_emp,mismatch_used,mismatch_gap,mismatch_infl,mu_total_after_mismatch,chaos_factor,chaos_add,mu_total_after_chaos,tempo_used,tempo_factor,mu_total_after_tempo,soft_anchor_w,mu_total_pre_anchor,mu_total_post_anchor,clip_low,clip_high,mu_total_post_clip,split_final,mu_h_final,mu_a_final,alpha_base,alpha_used,alpha_squeeze,p_over_absdiff_5050,is_main_line,main_line,mu_match,mu_league,gameweek,home_team,away_team,league
Brentford,Everton,7.5,0.77396,0.22604000000000002,1.2084328816172552,3.960678886976989,0.8275180320000001,0.25248196800000006,5.636453287595939,4.585973089799826,10.222426377395767,0.5513811574187013,1.0,10.150718871225626,1.0,1.0040633603806666,0.9993222187288083,10.170374671482204,1.0,0.12443884394918435,1.0,10.170374671482204,1.0,0.0,10.170374671482204,0.0,1.0,10.170374671482204,0.18,10.170374671482204,10.111810551648619,8.663616236162362,11.026420664206643,10.111810551648619,0.5525516595526947,5.587297701395894,4.524512850252725,0.029999999974205445,0.020719999982459703,0.68,0.27396,False,9.5,10.11702,9.845018450184503,32,Brentford,Everton,EPL
Brentford,Everton,8.5,0.6681,0.3319,1.3999082668110923,2.7347250020701868,0.71433252,0.36566748,5.636453287595939,4.585973089799826,10.222426377395767,0.5513811574187013,1.0,10.150718871225626,1.0,1.0040633603806666,0.9993222187288083,10.170374671482204,1.0,0.12443884394918435,1.0,10.170374671482204,1.0,0.0,10.170374671482204,0.0,1.0,10.170374671482204,0.18,10.170374671482204,10.111810551648619,8.663616236162362,11.026420664206643,10.111810551648619,0.5525516595526947,5.587297701395894,4.524512850252725,0.029999999974205445,0.020719999982459703,0.68,0.16810000000000003,False,9.5,10.11702,9.845018450184503,32,Brentford,Everton,EPL
Brentford,Everton,9.5,0.54766,0.45233999999999996,1.7077725469387772,2.022482203410549,0.5855580720000001,0.494441928,5.636453287595939,4.585973089799826,10.222426377395767,0.5513811574187013,1.0,10.150718871225626,1.0,1.0040633603806666,0.9993222187288083,10.170374671482204,1.0,0.12443884394918435,1.0,10.170374671482204,1.0,0.0,10.170374671482204,0.0,1.0,10.170374671482204,0.18,10.170374671482204,10.111810551648619,8.663616236162362,11.026420664206643,10.111810551648619,0.5525516595526947,5.587297701395894,4.524512850252725,0.029999999974205445,0.020719999982459703,0.68,0.047660000000000036,True,9.5,10.11702,9.845018450184503,32,Brentford,Everton,EPL
Brentford,Everton,10.5,0.43064,0.56936,2.1718342770213885,1.6140494299926331,0.46044028800000003,0.619559712,5.636453287595939,4.585973089799826,10.222426377395767,0.5513811574187013,1.0,10.150718871225626,1.0,1.0040633603806666,0.9993222187288083,10.170374671482204,1.0,0.12443884394918435,1.0,10.170374671482204,1.0,0.0,10.170374671482204,0.0,1.0,10.170374671482204,0.18,10.170374671482204,10.111810551648619,8.663616236162362,11.026420664206643,10.111810551648619,0.5525516595526947,5.587297701395894,4.524512850252725,0.029999999974205445,0.020719999982459703,0.68,0.06935999999999998,False,9.5,10.11702,9.845018450184503,32,Brentford,Everton,EPL
Brentford,Everton,11.5,0.32336,0.67664,2.8923760299866736,1.361908928256555,0.345736512,0.7342634880000001,5.636453287595939,4.585973089799826,10.222426377395767,0.5513811574187013,1.0,10.150718871225626,1.0,1.0040633603806666,0.9993222187288083,10.170374671482204,1.0,0.12443884394918435,1.0,10.170374671482204,1.0,0.0,10.170374671482204,0.0,1.0,10.170374671482204,0.18,10.170374671482204,10.111810551648619,8.663616236162362,11.026420664206643,10.111810551648619,0.5525516595526947,5.587297701395894,4.524512850252725,0.029999999974205445,0.020719999982459703,0.68,0.17664000000000002,False,9.5,10.11702,9.845018450184503,32,Brentford,Everton,EPL
Brentford,Everton,12.5,0.22954,0.77046,4.074578343889914,1.1982134656398724,0.24542416800000003,0.8345758320000001,5.636453287595939,4.585973089799826,10.222426377395767,0.5513811574187013,1.0,10.150718871225626,1.0,1.0040633603806666,0.9993222187288083,10.170374671482204,1.0,0.12443884394918435,1.0,10.170374671482204,1.0,0.0,10.170374671482204,0.0,1.0,10.170374671482204,0.18,10.170374671482204,10.111810551648619,8.663616236162362,11.026420664206643,10.111810551648619,0.5525516595526947,5.587297701395894,4.524512850252725,0.029999999974205445,0.020719999982459703,0.68,0.27046000000000003,False,9.5,10.11702,9.845018450184503,32,Brentford,Everton,EPL
Arsenal,Afc Bournemouth,7.5,0.7613,0.23870000000000002,1.2285284553480766,3.7591435528207033,0.81398196,0.26601804,6.725033158682404,3.407830627567707,10.13286378625011,0.6636853411380111,1.0,10.078173172397646,1.0,0.9883646930413147,0.9978882945088043,9.993190184688022,1.0,0.04729523124565624,1.0,9.993190184688022,1.0,0.0,9.993190184688022,0.0,1.0,9.993190184688022,0.18,9.993190184688022,9.966519272477388,8.663616236162362,11.026420664206643,9.966519272477388,0.6615415281400315,6.593266389751767,3.3732528827256214,0.029999999974205445,0.020719999982459703,0.68,0.2613,False,9.5,9.95662,9.845018450184503,32,Arsenal,Afc Bournemouth,EPL
Arsenal,Afc Bournemouth,8.5,0.6474,0.3526,1.4446690037943943,2.578649319989545,0.69220008,0.38779992,6.725033158682404,3.407830627567707,10.13286378625011,0.6636853411380111,1.0,10.078173172397646,1.0,0.9883646930413147,0.9978882945088043,9.993190184688022,1.0,0.04729523124565624,1.0,9.993190184688022,1.0,0.0,9.993190184688022,0.0,1.0,9.993190184688022,0.18,9.993190184688022,9.966519272477388,8.663616236162362,11.026420664206643,9.966519272477388,0.6615415281400315,6.593266389751767,3.3732528827256214,0.029999999974205445,0.020719999982459703,0.68,0.14739999999999998,False,9.5,9.95662,9.845018450184503,32,Arsenal,Afc Bournemouth,EPL
Arsenal,Afc Bournemouth,9.5,0.52814,0.47185999999999995,1.770891644367953,1.9405692440981352,0.5646872880000001,0.515312712,6.725033158682404,3.407830627567707,10.13286378625011,0.6636853411380111,1.0,10.078173172397646,1.0,0.9883646930413147,0.9978882945088043,9.993190184688022,1.0,0.04729523124565624,1.0,9.993190184688022,1.0,0.0,9.993190184688022,0.0,1.0,9.993190184688022,0.18,9.993190184688022,9.966519272477388,8.663616236162362,11.026420664206643,9.966519272477388,0.6615415281400315,6.593266389751767,3.3732528827256214,0.029999999974205445,0.020719999982459703,0.68,0.028140000000000054,True,9.5,9.95662,9.845018450184503,32,Arsenal,Afc Bournemouth,EPL
Arsenal,Afc Bournemouth,10.5,0.41244,0.5875600000000001,2.26767217790828,1.564898324048979,0.440980848,0.6390191520000001,6.725033158682404,3.407830627567707,10.13286378625011,0.6636853411380111,1.0,10.078173172397646,1.0,0.9883646930413147,0.9978882945088043,9.993190184688022,1.0,0.04729523124565624,1.0,9.993190184688022,1.0,0.0,9.993190184688022,0.0,1.0,9.993190184688022,0.18,9.993190184688022,9.966519272477388,8.663616236162362,11.026420664206643,9.966519272477388,0.6615415281400315,6.593266389751767,3.3732528827256214,0.029999999974205445,0.020719999982459703,0.68,0.08756000000000003,False,9.5,9.95662,9.845018450184503,32,Arsenal,Afc Bournemouth,EPL
