home,away,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,imp_over,imp_under,mu_h0,mu_a0,mu_total_raw,split0,hybrid_used,mu_total_after_hybrid,emp_used,emp_fac_home,emp_fac_away,mu_total_after_emp,mismatch_used,mismatch_gap,mismatch_infl,mu_total_after_mismatch,chaos_factor,chaos_add,mu_total_after_chaos,tempo_used,tempo_factor,mu_total_after_tempo,soft_anchor_w,mu_total_pre_anchor,mu_total_post_anchor,clip_low,clip_high,mu_total_post_clip,split_final,mu_h_final,mu_a_final,alpha_base,alpha_used,alpha_squeeze,p_over_absdiff_5050,is_main_line,main_line,mu_match,mu_league,gameweek,home_team,away_team,league
Sassuolo,Hellas Verona,7.5,0.67336,0.32664000000000004,1.3889727828449727,2.777442262752437,0.719956512,0.3600434880000001,5.52469230881548,3.7092074752720907,9.233899784087571,0.5983054221939871,1.0,9.159058825110932,1.0,0.9827951287600006,1.0078804019123169,9.0937707362712,1.0,0.0682416634016992,1.0,9.0937707362712,1.0,0.0,9.0937707362712,0.0,1.0,9.0937707362712,0.12,9.0937707362712,9.063318247918657,7.7792,9.9008,9.063318247918657,0.5922332428519157,5.367598356963809,3.695719890954848,0.03,0.02362,0.78,0.17335999999999996,False,8.5,9.06496,8.84,26,Sassuolo,Hellas Verona,SA
Sassuolo,Hellas Verona,8.5,0.54464,0.45536,1.7172420554063064,2.0093599523051893,0.582329088,0.497670912,5.52469230881548,3.7092074752720907,9.233899784087571,0.5983054221939871,1.0,9.159058825110932,1.0,0.9827951287600006,1.0078804019123169,9.0937707362712,1.0,0.0682416634016992,1.0,9.0937707362712,1.0,0.0,9.0937707362712,0.0,1.0,9.0937707362712,0.12,9.0937707362712,9.063318247918657,7.7792,9.9008,9.063318247918657,0.5922332428519157,5.367598356963809,3.695719890954848,0.03,0.02362,0.78,0.04464000000000001,True,8.5,9.06496,8.84,26,Sassuolo,Hellas Verona,SA
Sassuolo,Hellas Verona,9.5,0.42028,0.57972,2.2253704983736813,1.5856992155913863,0.44936337600000004,0.630636624,5.52469230881548,3.7092074752720907,9.233899784087571,0.5983054221939871,1.0,9.159058825110932,1.0,0.9827951287600006,1.0078804019123169,9.0937707362712,1.0,0.0682416634016992,1.0,9.0937707362712,1.0,0.0,9.0937707362712,0.0,1.0,9.0937707362712,0.12,9.0937707362712,9.063318247918657,7.7792,9.9008,9.063318247918657,0.5922332428519157,5.367598356963809,3.695719890954848,0.03,0.02362,0.78,0.07972000000000001,False,8.5,9.06496,8.84,26,Sassuolo,Hellas Verona,SA
Sassuolo,Hellas Verona,10.5,0.30562,0.69438,3.060266713750706,1.3276138031348614,0.326768904,0.753231096,5.52469230881548,3.7092074752720907,9.233899784087571,0.5983054221939871,1.0,9.159058825110932,1.0,0.9827951287600006,1.0078804019123169,9.0937707362712,1.0,0.0682416634016992,1.0,9.0937707362712,1.0,0.0,9.0937707362712,0.0,1.0,9.0937707362712,0.12,9.0937707362712,9.063318247918657,7.7792,9.9008,9.063318247918657,0.5922332428519157,5.367598356963809,3.695719890954848,0.03,0.02362,0.78,0.19438,False,8.5,9.06496,8.84,26,Sassuolo,Hellas Verona,SA
Sassuolo,Hellas Verona,11.5,0.2106,0.7894,4.441019530182767,1.1698280568004864,0.22517352000000002,0.85482648,5.52469230881548,3.7092074752720907,9.233899784087571,0.5983054221939871,1.0,9.159058825110932,1.0,0.9827951287600006,1.0078804019123169,9.0937707362712,1.0,0.0682416634016992,1.0,9.0937707362712,1.0,0.0,9.0937707362712,0.0,1.0,9.0937707362712,0.12,9.0937707362712,9.063318247918657,7.7792,9.9008,9.063318247918657,0.5922332428519157,5.367598356963809,3.695719890954848,0.03,0.02362,0.78,0.2894,False,8.5,9.06496,8.84,26,Sassuolo,Hellas Verona,SA
Sassuolo,Hellas Verona,12.5,0.13862,0.86138,6.747069059706326,1.073206073587405,0.148212504,0.9317874960000001,5.52469230881548,3.7092074752720907,9.233899784087571,0.5983054221939871,1.0,9.159058825110932,1.0,0.9827951287600006,1.0078804019123169,9.0937707362712,1.0,0.0682416634016992,1.0,9.0937707362712,1.0,0.0,9.0937707362712,0.0,1.0,9.0937707362712,0.12,9.0937707362712,9.063318247918657,7.7792,9.9008,9.063318247918657,0.5922332428519157,5.367598356963809,3.695719890954848,0.03,0.02362,0.78,0.36138000000000003,False,8.5,9.06496,8.84,26,Sassuolo,Hellas Verona,SA
Juventus,Como,7.5,0.55936,0.44064000000000003,1.6720514750008775,2.074980292667172,0.598067712,0.4819322880000001,4.373106890394885,3.4368917216856945,7.809998612080579,0.5599369612730176,1.0,8.005698875785269,1.0,1.0048481049426543,1.0232909832051165,8.109485828724205,1.0,0.14734362602416906,1.0,8.109485828724205,1.0,0.0,8.109485828724205,0.0,1.0,8.109485828724205,0.055,8.109485828724205,8.149664108144373,7.7792,9.9008,8.149664108144373,0.5554506576696195,4.526736288655285,3.6229278194890875,0.03,0.02362,0.78,0.05935999999999997,True,7.5,8.15008,8.84,26,Juventus,Como,SA
Juventus,Como,8.5,0.42682,0.57318,2.1912719953528206,1.603478763854361,0.456355944,0.6236440560000001,4.373106890394885,3.4368917216856945,7.809998612080579,0.5599369612730176,1.0,8.005698875785269,1.0,1.0048481049426543,1.0232909832051165,8.109485828724205,1.0,0.14734362602416906,1.0,8.109485828724205,1.0,0.0,8.109485828724205,0.0,1.0,8.109485828724205,0.055,8.109485828724205,8.149664108144373,7.7792,9.9008,8.149664108144373,0.5554506576696195,4.526736288655285,3.6229278194890875,0.03,0.02362,0.78,0.07318000000000002,False,7.5,8.15008,8.84,26,Juventus,Como,SA
Juventus,Como,9.5,0.30724,0.69276,3.044130689547229,1.3306737742104646,0.32850100800000004,0.7514989920000001,4.373106890394885,3.4368917216856945,7.809998612080579,0.5599369612730176,1.0,8.005698875785269,1.0,1.0048481049426543,1.0232909832051165,8.109485828724205,1.0,0.14734362602416906,1.0,8.109485828724205,1.0,0.0,8.109485828724205,0.0,1.0,8.109485828724205,0.055,8.109485828724205,8.149664108144373,7.7792,9.9008,8.149664108144373,0.5554506576696195,4.526736288655285,3.6229278194890875,0.03,0.02362,0.78,0.19276,False,7.5,8.15008,8.84,26,Juventus,Como,SA
Juventus,Como,10.5,0.20804,0.79196,4.495667722824893,1.1660942263465761,0.22243636800000002,0.8575636320000001,4.373106890394885,3.4368917216856945,7.809998612080579,0.5599369612730176,1.0,8.005698875785269,1.0,1.0048481049426543,1.0232909832051165,8.109485828724205,1.0,0.14734362602416906,1.0,8.109485828724205,1.0,0.0,8.109485828724205,0.0,1.0,8.109485828724205,0.055,8.109485828724205,8.149664108144373,7.7792,9.9008,8.149664108144373,0.5554506576696195,4.526736288655285,3.6229278194890875,0.03,0.02362,0.78,0.29196,False,7.5,8.15008,8.84,26,Juventus,Como,SA
Juventus,Como,11.5,0.13432,0.86568,6.963063676715982,1.0679367356328249,0.14361494400000002,0.9363850560000001,4.373106890394885,3.4368917216856945,7.809998612080579,0.5599369612730176,1.0,8.005698875785269,1.0,1.0048481049426543,1.0232909832051165,8.109485828724205,1.0,0.14734362602416906,1.0,8.109485828724205,1.0,0.0,8.109485828724205,0.0,1.0,8.109485828724205,0.055,8.109485828724205,8.149664108144373,7.7792,9.9008,8.149664108144373,0.5554506576696195,4.526736288655285,3.6229278194890875,0.03,0.02362,0.78,0.36568,False,7.5,8.15008,8.84,26,Juventus,Como,SA
Juventus,Como,12.5,0.08136,0.91864,11.495559403349198,1.0070393176185573,0.08699011200000001,0.9930098880000001,4.373106890394885,3.4368917216856945,7.809998612080579,0.5599369612730176,1.0,8.005698875785269,1.0,1.0048481049426543,1.0232909832051165,8.109485828724205,1.0,0.14734362602416906,1.0,8.109485828724205,1.0,0.0,8.109485828724205,0.0,1.0,8.109485828724205,0.055,8.109485828724205,8.149664108144373,7.7792,9.9008,8.149664108144373,0.5554506576696195,4.526736288655285,3.6229278194890875,0.03,0.02362,0.78,0.41864,False,7.5,8.15008,8.84,26,Juventus,Como,SA
Lecce,Inter Milan,7.5,0.7572,0.24280000000000002,1.2351805507877587,3.698200780941663,0.80959824,0.27040176,3.796888319330248,6.586897633486045,10.383785952816293,0.3656554879485411,1.0,10.090466621781196,1.0,0.9952503777267643,1.0020828228935093,10.086274051286509,1.0,0.2727654155720624,1.0,10.086274051286509,1.0,0.0,10.086274051286509,0.0,1.0,10.086274051286509,0.12,10.086274051286509,9.936721165132129,7.7792,9.9008,9.9008,0.3640700329339322,3.604584582072276,6.2962154179277245,0.03,0.02362,0.78,0.2572,False,9.5,9.9199,8.84,26,Lecce,Inter Milan,SA
Lecce,Inter Milan,8.5,0.6467,0.35329999999999995,1.4462327401522974,2.573682205221507,0.69145164,0.38854836,3.796888319330248,6.586897633486045,10.383785952816293,0.3656554879485411,1.0,10.090466621781196,1.0,0.9952503777267643,1.0020828228935093,10.086274051286509,1.0,0.2727654155720624,1.0,10.086274051286509,1.0,0.0,10.086274051286509,0.0,1.0,10.086274051286509,0.12,10.086274051286509,9.936721165132129,7.7792,9.9008,9.9008,0.3640700329339322,3.604584582072276,6.2962154179277245,0.03,0.02362,0.78,0.14670000000000005,False,9.5,9.9199,8.84,26,Lecce,Inter Milan,SA
Lecce,Inter Milan,9.5,0.52602,0.47397999999999996,1.7780288069968646,1.9320706525160576,0.5624205840000001,0.517579416,3.796888319330248,6.586897633486045,10.383785952816293,0.3656554879485411,1.0,10.090466621781196,1.0,0.9952503777267643,1.0020828228935093,10.086274051286509,1.0,0.2727654155720624,1.0,10.086274051286509,1.0,0.0,10.086274051286509,0.0,1.0,10.086274051286509,0.12,10.086274051286509,9.936721165132129,7.7792,9.9008,9.9008,0.3640700329339322,3.604584582072276,6.2962154179277245,0.03,0.02362,0.78,0.026020000000000043,True,9.5,9.9199,8.84,26,Lecce,Inter Milan,SA
Lecce,Inter Milan,10.5,0.40754,0.59246,2.2949372161174133,1.5521726387502333,0.4357417680000001,0.644258232,3.796888319330248,6.586897633486045,10.383785952816293,0.3656554879485411,1.0,10.090466621781196,1.0,0.9952503777267643,1.0020828228935093,10.086274051286509,1.0,0.2727654155720624,1.0,10.086274051286509,1.0,0.0,10.086274051286509,0.0,1.0,10.086274051286509,0.12,10.086274051286509,9.936721165132129,7.7792,9.9008,9.9008,0.3640700329339322,3.604584582072276,6.2962154179277245,0.03,0.02362,0.78,0.09245999999999999,False,9.5,9.9199,8.84,26,Lecce,Inter Milan,SA
