metric,value
beta0,1.606222069495112
home_adv,0.12347185484323682
alpha,0.029999999974205445
alpha_squeeze_used,0.68
mu_league,9.845018450184503
emp_total_corners_mean,10.050691244239632
USE_EMP_BIAS_CORRECTION,1.0
EMP_BIAS_K,25.0
EMP_BIAS_MAX_FACTOR,1.3
USE_HYBRID_INTERACTION,1.0
HYBRID_W,0.62
MISMATCH_INFLATE_ENABLED,1.0
SOFT_ANCHOR_W_BASE,0.08
SOFT_ANCHOR_W_UPWARD,0.18
CHAOS_MAX,0.05
