home,away,line,p_over,p_under,fair_odds_over,fair_odds_under,mu_match,mu_league,mu_home,mu_away,alpha,gameweek
Manchester United,Newcastle United,7.5,0.8362,0.16379999999999995,1.1958861516383639,6.105006105006107,11.465883951736974,8.827641769039918,5.9933718654512145,5.472512086285759,0.0772879341618186,18
Manchester United,Newcastle United,8.5,0.7554,0.24460000000000004,1.3238019592268997,4.088307440719541,11.465883951736974,8.827641769039918,5.9933718654512145,5.472512086285759,0.0772879341618186,18
Manchester United,Newcastle United,9.5,0.66156,0.33843999999999996,1.5115786927867465,2.95473348303983,11.465883951736974,8.827641769039918,5.9933718654512145,5.472512086285759,0.0772879341618186,18
Manchester United,Newcastle United,10.5,0.5655,0.4345,1.7683465959328029,2.3014959723820483,11.465883951736974,8.827641769039918,5.9933718654512145,5.472512086285759,0.0772879341618186,18
Manchester United,Newcastle United,11.5,0.46706,0.53294,2.141052541429367,1.8763838330768943,11.465883951736974,8.827641769039918,5.9933718654512145,5.472512086285759,0.0772879341618186,18
Manchester United,Newcastle United,12.5,0.37312,0.62688,2.6801029159519727,1.5952016334864727,11.465883951736974,8.827641769039918,5.9933718654512145,5.472512086285759,0.0772879341618186,18
Nottingham Forest,Manchester City,7.5,0.74094,0.25905999999999996,1.349636947661079,3.8601096271134105,10.106708848610626,8.827641769039918,3.355515071908291,6.751193776702335,0.0772879341618186,18
Nottingham Forest,Manchester City,8.5,0.63772,0.36228000000000005,1.5680863074703633,2.7602959037208787,10.106708848610626,8.827641769039918,3.355515071908291,6.751193776702335,0.0772879341618186,18
Nottingham Forest,Manchester City,9.5,0.53142,0.46858,1.881750780926574,2.1341073029151905,10.106708848610626,8.827641769039918,3.355515071908291,6.751193776702335,0.0772879341618186,18
Nottingham Forest,Manchester City,10.5,0.42704,0.57296,2.341701011614837,1.7453225356045796,10.106708848610626,8.827641769039918,3.355515071908291,6.751193776702335,0.0772879341618186,18
Nottingham Forest,Manchester City,11.5,0.3295,0.6705,3.0349013657056143,1.4914243102162565,10.106708848610626,8.827641769039918,3.355515071908291,6.751193776702335,0.0772879341618186,18
Nottingham Forest,Manchester City,12.5,0.24626,0.75374,4.060748802079103,1.3267174357205402,10.106708848610626,8.827641769039918,3.355515071908291,6.751193776702335,0.0772879341618186,18
Burnley,Everton,7.5,0.74014,0.25986,1.3510957386440403,3.848225967828831,10.073485474528091,8.827641769039918,5.211820532450232,4.86166494207786,0.0772879341618186,18
Burnley,Everton,8.5,0.63548,0.36451999999999996,1.5736136463775412,2.7433336991111603,10.073485474528091,8.827641769039918,5.211820532450232,4.86166494207786,0.0772879341618186,18
Burnley,Everton,9.5,0.52844,0.47156,1.8923624252516842,2.1206209178047333,10.073485474528091,8.827641769039918,5.211820532450232,4.86166494207786,0.0772879341618186,18
Burnley,Everton,10.5,0.42112,0.5788800000000001,2.3746200607902734,1.7274737423991153,10.073485474528091,8.827641769039918,5.211820532450232,4.86166494207786,0.0772879341618186,18
Burnley,Everton,11.5,0.32344,0.67656,3.0917635419243137,1.4780655078633085,10.073485474528091,8.827641769039918,5.211820532450232,4.86166494207786,0.0772879341618186,18
Burnley,Everton,12.5,0.2385,0.7615000000000001,4.1928721174004195,1.3131976362442546,10.073485474528091,8.827641769039918,5.211820532450232,4.86166494207786,0.0772879341618186,18
Liverpool,Wolverhampton Wanderers,7.5,0.77466,0.22533999999999998,1.290888906100741,4.437738528445904,10.602673190564706,8.827641769039918,7.915469626916259,2.687203563648447,0.0772879341618186,18
Liverpool,Wolverhampton Wanderers,8.5,0.68026,0.31974,1.4700261664657632,3.1275411271658218,10.602673190564706,8.827641769039918,7.915469626916259,2.687203563648447,0.0772879341618186,18
Liverpool,Wolverhampton Wanderers,9.5,0.57992,0.42008,1.7243757759690992,2.380498952580461,10.602673190564706,8.827641769039918,7.915469626916259,2.687203563648447,0.0772879341618186,18
Liverpool,Wolverhampton Wanderers,10.5,0.47638,0.52362,2.0991645325160584,1.9097819029066883,10.602673190564706,8.827641769039918,7.915469626916259,2.687203563648447,0.0772879341618186,18
Liverpool,Wolverhampton Wanderers,11.5,0.37912,0.62088,2.6376872757965817,1.6106171885066358,10.602673190564706,8.827641769039918,7.915469626916259,2.687203563648447,0.0772879341618186,18
Liverpool,Wolverhampton Wanderers,12.5,0.29518,0.70482,3.3877633986042417,1.4188019636219176,10.602673190564706,8.827641769039918,7.915469626916259,2.687203563648447,0.0772879341618186,18
West Ham United,Fulham,7.5,0.7334,0.26659999999999995,1.3635124079629124,3.750937734433609,10.001602461802875,8.827641769039918,4.59284209746735,5.408760364335526,0.0772879341618186,18
West Ham United,Fulham,8.5,0.63042,0.36958,1.5862440912407603,2.7057741219762974,10.001602461802875,8.827641769039918,4.59284209746735,5.408760364335526,0.0772879341618186,18
West Ham United,Fulham,9.5,0.52316,0.47684000000000004,1.9114611208808014,2.097139501719654,10.001602461802875,8.827641769039918,4.59284209746735,5.408760364335526,0.0772879341618186,18
West Ham United,Fulham,10.5,0.41508,0.58492,2.4091741351064853,1.7096355057101826,10.001602461802875,8.827641769039918,4.59284209746735,5.408760364335526,0.0772879341618186,18
West Ham United,Fulham,11.5,0.31836,0.68164,3.141098127905516,1.467050055747902,10.001602461802875,8.827641769039918,4.59284209746735,5.408760364335526,0.0772879341618186,18
West Ham United,Fulham,12.5,0.23704,0.76296,4.218697266284171,1.310684701688162,10.001602461802875,8.827641769039918,4.59284209746735,5.408760364335526,0.0772879341618186,18
