team,mu_home_for,mu_away_for,mu_home_against,mu_away_against,attack_A,defense_D,beta0,home_adv,alpha
Manchester City,6.992900239352538,5.9076505565855335,3.0508270799290034,3.6112713866727586,0.29150748736009197,-0.3693280004568089,1.4847407280623883,0.16864716741063934,0.0772879341618186
Liverpool,6.899254022533157,5.828537584002018,3.5301746702430523,4.178676287645365,0.27802539760923534,-0.22339337668610396,1.4847407280623883,0.16864716741063934,0.0772879341618186
Arsenal,6.880495693739556,5.812690417912833,2.6598078802118867,3.148421015090583,0.275302802385512,-0.5064868333614196,1.4847407280623883,0.16864716741063934,0.0772879341618186
Tottenham Hotspur,6.668221268278007,5.6333595130230885,4.892920444986059,5.791761754211088,0.24396525246993636,0.10304862516822608,1.4847407280623883,0.16864716741063934,0.0772879341618186
AFC Bournemouth,6.314012263102027,5.334121292120165,4.280182516516556,5.066462387633239,0.18938343686899944,-0.030745075331990262,1.4847407280623883,0.16864716741063934,0.0772879341618186
Newcastle United,6.181979374490147,5.222578993331731,4.668478666131808,5.526089478229733,0.1682506118499249,0.05609252312108814,1.4847407280623883,0.16864716741063934,0.0772879341618186
Chelsea,6.126743364057222,5.1759152291411175,3.6512124329657927,4.321948979861566,0.15927545132456802,-0.18968144221007718,1.4847407280623883,0.16864716741063934,0.0772879341618186
Aston Villa,6.112127074283165,5.163567286304324,3.9286127271427427,4.650308378401825,0.15688694712453355,-0.11645436013682335,1.4847407280623883,0.16864716741063934,0.0772879341618186
Luton Town,5.725735645228673,4.837141130806216,5.091404995568634,6.026708396363004,0.09158314269541994,0.14281309497419836,1.4847407280623883,0.16864716741063934,0.0772879341618186
Manchester United,5.666443353449403,4.787050592039504,4.625049839950157,5.4746826717350725,0.08117375092374342,0.04674641904937678,1.4847407280623883,0.16864716741063934,0.0772879341618186
Fulham,5.633272170780083,4.759027347169483,4.158094253659637,4.921946215869733,0.0753025804709766,-0.05968387085567249,1.4847407280623883,0.16864716741063934,0.0772879341618186
Brighton & Hove Albion,5.460076061321023,4.612710074303739,3.9859379566795172,4.718164391127863,0.04407482483163145,-0.10196807170162711,1.4847407280623883,0.16864716741063934,0.0772879341618186
Brentford,5.291971743559935,4.470694382331324,4.9019541391813926,5.802454959859545,0.012803011302073477,0.1048932014676176,1.4847407280623883,0.16864716741063934,0.0772879341618186
West Ham United,4.875306121611359,4.1186923789905086,5.0164240954965305,5.937953323760313,-0.06920499881799985,0.12797662023817002,1.4847407280623883,0.16864716741063934,0.0772879341618186
Nottingham Forest,4.8546319128172195,4.101226664207056,5.044062745693735,5.9706692607860665,-0.07345461270748488,0.13347112963256683,1.4847407280623883,0.16864716741063934,0.0772879341618186
Everton,4.770689141182374,4.0303112293236545,4.943582161582649,5.851730150567806,-0.09089712696572091,0.11334947427847973,1.4847407280623883,0.16864716741063934,0.0772879341618186
Crystal Palace,4.727748477509164,3.9940346592359512,4.677643367058854,5.536937756863088,-0.09993881528069051,0.05805370099399683,1.4847407280623883,0.16864716741063934,0.0772879341618186
Burnley,4.653314451060767,3.9311522781457438,5.324283171670301,6.30236685615223,-0.1158081446101079,0.18753735882283099,1.4847407280623883,0.16864716741063934,0.0772879341618186
Leeds United,4.639128409562885,3.919167812032658,2.919894905104196,3.4562866549420215,-0.11886138964614537,-0.4131931038325768,1.4847407280623883,0.16864716741063934,0.0772879341618186
Southampton,4.362980142647197,3.685875843478042,5.453849267702388,6.455734557114968,-0.1802325526489955,0.2115809189608351,1.4847407280623883,0.16864716741063934,0.0772879341618186
Ipswich Town,4.14400551741075,3.5008845634113928,5.611820866235684,6.642725920028766,-0.23172505909521915,0.2401345138956929,1.4847407280623883,0.16864716741063934,0.0772879341618186
Sheffield United,4.024387763556841,3.3998306564564746,5.91632780353659,7.00317151753661,-0.26101510460524496,0.29297522490908345,1.4847407280623883,0.16864716741063934,0.0772879341618186
Sunderland,4.016643081151372,3.393287895118944,3.9878835273629227,4.720467367847178,-0.2629413961342346,-0.10148008216589262,1.4847407280623883,0.16864716741063934,0.0772879341618186
Wolverhampton Wanderers,3.977055134897355,3.3598437239286394,5.063948223381782,5.994207748777605,-0.27284626590445715,0.1374057322765419,1.4847407280623883,0.16864716741063934,0.0772879341618186
Leicester City,3.9070345716321717,3.300689867104238,5.160721560444924,6.108758581706848,-0.29060923080034573,0.15633567895028763,1.4847407280623883,0.16864716741063934,0.0772879341618186
